name,ROE_avg,asset_liability_avg
新华保险,14.106,90.728
中国人寿,9.95,89.97999999999999
中国太保,13.02,88.46600000000001
天茂集团,4.366,85.606
中国人保,10.919999999999998,78.73999999999998
中国平安,17.68,89.658
华源控股,2.7760000000000002,40.132
方大新材,12.916000000000002,18.58
盛通股份,-0.09199999999999964,41.248000000000005
中锐股份,-20.526,56.672000000000004
上海易连,5.077999999999999,55.826
珠海中富,-11.128000000000002,77.87599999999999
劲嘉股份,9.256,17.878
大胜达,10.266000000000002,36.856
中荣股份,16.596,47.914
紫江企业,10.462,51.588
东风股份,12.629999999999999,26.95
昇兴股份,3.428,58.134
佳合科技,25.218,36.339999999999996
海顺新材,10.296,31.433999999999997
美盈森,5.938000000000001,30.918
合兴包装,7.484,55.977999999999994
永新股份,15.410000000000002,29.148000000000003
奥瑞金,9.418000000000001,55.29200000000001
新巨丰,13.674000000000001,30.772
环球印务,11.722,45.617999999999995
ST金时,10.63,12.598
上海艾录,12.302,38.602
宝钢包装,6.054,51.522000000000006
嘉美包装,6.274000000000001,47.17399999999999
王子新材,9.458,41.513999999999996
陕西金叶,2.132,51.312
顺灏股份,-1.964,30.526
新通联,4.686,29.986
天元股份,6.702000000000001,26.514
英联股份,5.890000000000001,56.007999999999996
海光信息,0.6079999999999999,37.146
伟测科技,14.167999999999997,39.49400000000001
唯捷创芯,-12.498000000000001,41.308
美芯晟,-1.0749999999999997,17.4375
芯海科技,12.758,22.302
安路科技,0.4899999999999999,25.38
圣邦股份,24.138,19.696
龙芯中科,15.158000000000001,28.55
纳芯微,14.304000000000002,22.61
睿创微纳,17.169999999999998,18.973999999999997
晶升股份,15.306666666666667,25.815
瑞芯微,15.178,15.169999999999998
钜泉科技,22.818000000000005,21.064
思瑞浦,16.452,13.816000000000003
华海清科,-116.0875,70.826
韦尔股份,16.606,50.164
普冉股份,23.308,25.594
华润微,11.7,31.598000000000003
创耀科技,50.324,53.008
国科微,8.883999999999999,49.339999999999996
乐鑫科技,15.542000000000002,12.24
艾为电子,18.823999999999998,41.458
中微公司,9.065999999999999,25.122000000000003
富瀚微,12.604,17.54
赛微微电,22.424,19.57
寒武纪-U,-19.419999999999998,26.145999999999997
铖昌科技,28.574,12.972
中微半导,34.946000000000005,24.699999999999996
思特威-W,334.256,63.822
全志科技,9.534,15.720000000000002
富满微,11.315999999999999,33.944
澜起科技,18.654,7.38
臻镭科技,-8.702000000000002,13.974
汇顶科技,17.564,19.256
斯达半导,21.890000000000004,24.732
立昂微,12.654,50.581999999999994
