name,industry,market_value,ROE_avg,asset_liability_avg,shareholder_capacity,management_capacity
天海防务,船舶制造,85.19,-31.082,50.30400000000001,5.8,7.4
亚光科技,船舶制造,70.03,-10.676,41.482,0.8,5.4
中国船舶,船舶制造,1443.7,2.71,64.02199999999999,7.6,13.2
中船防务,船舶制造,367.79,4.836,62.48599999999999,8.2,10.8
国瑞科技,船舶制造,31.81,-0.3780000000000001,31.22600000000001,4.0,7.6
中国动力,船舶制造,463.8,2.5780000000000003,41.322,1.4,10.8
江龙船艇,船舶制造,52.5,8.14,55.264,1.2000000000000002,6.4
博迈科,采掘行业,37.72,3.150000000000001,30.922000000000004,5.8,6.000000000000001
金石资源,采掘行业,153.78,20.654000000000003,43.842,7.0,8.600000000000001
海油工程,采掘行业,275.01,2.004,31.772,12.4,6.2
中油工程,采掘行业,228.35,3.164,75.69800000000001,7.0,7.6
石化油服,采掘行业,417.66,5.572,89.494,7.6,8.600000000000001
海默科技,采掘行业,24.66,-10.723999999999998,44.518,5.2,5.8
广东宏大,采掘行业,198.07,8.872,49.81,6.4,8.0
惠博普,采掘行业,51.58,-4.223999999999999,48.45400000000001,4.6,6.4
贝肯能源,采掘行业,17.65,-5.116,60.398,4.0,5.6000000000000005
龙高股份,采掘行业,26.84,14.166,14.54,4.6,6.4
准油股份,采掘行业,18.5,-16.697999999999997,72.81,4.6,8.0
潜能恒信,采掘行业,60.38,2.33,24.592,0.8,7.2
中海油服,采掘行业,722.42,4.2700000000000005,50.062,9.4,8.2
中曼石油,采掘行业,84.08,1.168,59.568,0.8,6.2
通源石油,采掘行业,28.54,-12.04,39.192,4.6,6.800000000000001
金诚信,采掘行业,198.04,8.656,38.496,6.4,8.8
海油发展,采掘行业,316.13,8.228,41.676,8.8,6.800000000000001
恒泰艾普,采掘行业,24.28,-67.276,62.682,4.0,5.6000000000000005
仁智股份,采掘行业,17.99,-38.562,90.47,6.2,5.0
新力金融,多元金融,41.33,-6.362,53.234,5.2,4.8
爱建集团,多元金融,98.94,10.284,57.314,6.4,11.4
弘业期货,多元金融,160.74,3.172,72.386,5.8,8.8
越秀资本,多元金融,383.81,10.508,77.652,5.8,8.4
永安期货,多元金融,271.9,13.394,81.70599999999999,2.6,12.0
中粮资本,多元金融,201.61,4.848,71.944,1.4,7.8
中航产融,多元金融,366.23,9.733999999999998,85.244,7.6,9.4
江苏金租,多元金融,193.13,14.580000000000002,83.696,7.0,10.4
陕国投Ａ,多元金融,176.43,5.568,25.348000000000003,5.8,9.0
五矿资本,多元金融,277.98,7.723999999999999,64.304,4.6,8.4
经纬纺机,多元金融,70.77,6.182,40.894,5.8,9.8
浙江东方,多元金融,146.18,6.816,48.31,7.0,9.2
九鼎投资,多元金融,61.91,10.01,25.75,5.2,5.4
中油资本,多元金融,925.4,8.016,83.232,5.8,6.6000000000000005
*ST泛海,多元金融,77.94,-1321.212,87.06200000000001,1.0,5.4
渤海租赁,多元金融,162.03,-4.808000000000001,82.21600000000001,4.6,7.2
瑞达期货,多元金融,80.02,13.162,78.812,4.6,7.4
海德股份,多元金融,178.61,6.42,27.916,5.2,7.6
香溢融通,多元金融,31.71,0.5820000000000001,17.524,4.0,9.0
南华期货,多元金融,85.96,6.0120000000000005,86.678,7.0,11.0
ST建元,多元金融,385.9,-139.75249999999997,80.13399999999999,4.0,9.6
ST熊猫,多元金融,17.78,2.964000000000001,23.276000000000003,5.2,3.8
*ST民控,多元金融,12.23,1.5479999999999998,3.2300000000000004,5.8,7.800000000000001
仁东控股,多元金融,35.56,-24.874,85.04799999999999,5.2,6.2
容百科技,电池,246.25,11.224,41.85000000000001,5.2,7.8
天力锂能,电池,61.86,10.564,44.44,4.0,6.800000000000001
先导智能,电池,514.95,20.992,59.306,8.2,6.800000000000001
珠海冠宇,电池,260.83,19.34,63.260000000000005,5.2,7.2
蔚蓝锂芯,电池,127.3,11.028,49.55800000000001,6.4,4.6
亿纬锂能,电池,1210.25,19.42,53.09400000000001,7.0,6.4
当升科技,电池,254.26,12.27,33.534,9.4,10.0
中伟股份,电池,421.02,17.338,67.874,7.0,5.8
南都电源,电池,153.17,-2.758,60.33,6.4,7.2
恩捷股份,电池,956.83,20.246,49.252,2.6,5.4
星源材质,电池,216.6,9.506,47.766,0.4,5.8
宁德时代,电池,10513.29,16.398,61.402,5.2,8.600000000000001
欣旺达,电池,306.35,11.74,70.97,8.2,5.8
嘉元科技,电池,105.54,17.636000000000003,23.434000000000005,0.4,9.0
国轩高科,电池,492.21,2.256,60.90999999999999,1.2000000000000002,7.8
博力威,电池,36.18,22.77,56.248000000000005,5.2,4.6
璞泰来,电池,800.43,20.630000000000003,51.58200000000001,7.0,6.6000000000000005
贝特瑞,电池,255.55,18.172,51.13799999999999,6.4,8.4
派能科技,电池,298.02,30.602,37.19199999999999,6.4,8.2
科恒股份,电池,27.27,-31.952,73.61,4.6,5.8
芳源股份,电池,55.97,6.540000000000001,46.956,5.2,7.4
金杨股份,电池,36.71,16.092000000000002,53.926,4.6,7.4
新宙邦,电池,380.01,16.21,35.79600000000001,5.8,7.4
雄韬股份,电池,62.24,1.0559999999999998,46.722,5.8,9.0
杭可科技,电池,179.47,19.292,49.036,6.4,5.6000000000000005
力佳科技,电池,5.86,15.534,34.184,4.0,8.4
长远锂科,电池,215.88,12.682,32.20399999999999,6.4,11.6
中银绒业,电池,72.88,-165.368,34.376,4.6,7.2
德赛电池,电池,104.94,25.35,68.99199999999999,7.6,7.6
安孚科技,电池,55.42,1.5619999999999998,61.9,2.4000000000000004,8.0
长虹能源,电池,19.7,20.442,62.29,7.0,9.4
湖南裕能,电池,335.24,29.696,51.938,5.8,9.4
紫建电子,电池,32.07,23.752,34.02,4.6,6.6000000000000005
鹏辉能源,电池,211.11,9.594,59.926,8.2,7.0
德瑞锂电,电池,8.79,19.824,19.036,4.0,5.2
星云股份,电池,41.36,4.682,44.306,5.2,6.6000000000000005
天能股份,电池,359.0,26.29,63.708000000000006,4.6,7.8
振华新材,电池,134.21,11.294,64.872,5.8,5.8
领湃科技,电池,38.59,-37.348,53.524,4.0,6.800000000000001
万润新能,电池,113.51,8.995999999999999,54.5,4.6,6.800000000000001
骆驼股份,电池,109.22,9.088,36.608,5.8,7.6
翔丰华,电池,42.66,9.44,47.992,4.6,8.2
诺德股份,电池,123.82,3.236,58.13800000000001,7.0,6.800000000000001
帕瓦股份,电池,42.14,7.042,34.022000000000006,4.6,9.0
时代万恒,电池,24.25,-7.410000000000001,33.428000000000004,4.6,7.6
安达科技,电池,48.37,7.184000000000002,32.995999999999995,0.8,6.2
亿华通-U,电池,103.02,-1.06,27.602,5.2,6.4
浙江恒威,电池,28.62,21.436,11.622,4.6,6.2
圣阳股份,电池,41.94,3.0480000000000005,33.222,4.6,8.0
豪鹏科技,电池,39.87,19.770000000000003,65.708,4.6,7.6
赢合科技,电池,173.75,7.530000000000001,48.238,7.0,7.8
孚能科技,电池,269.6,-4.7,43.47,4.6,11.8
野马电池,电池,30.32,18.252,29.568,5.8,7.2
万里股份,电池,19.25,-5.432,9.38,4.0,4.800000000000001
天宏锂电,电池,6.8,33.634,65.458,4.0,5.8
科达利,电池,293.68,10.142,37.206,6.4,6.6000000000000005
保力新,电池,78.78,-47.294,64.012,4.6,4.2
兆威机电,电机,126.55,30.996,27.252,1.6,6.000000000000001
江南奕帆,电机,23.07,24.628,16.381999999999998,1.2000000000000002,5.2
卧龙电驱,电机,169.17,11.852,60.778,5.8,8.600000000000001
康平科技,电机,21.11,10.3,35.562,5.2,5.2
江特电机,电机,195.72,-7.589999999999999,60.75,7.6,8.2
大洋电机,电机,135.37,-4.029999999999999,45.906,4.6,6.800000000000001
鼎智科技,电机,44.05,42.912,29.676,5.0,7.0
迪贝电气,电机,18.41,6.858,32.326,6.4,5.2
神力股份,电机,34.73,2.8280000000000003,42.492,4.0,5.2
江苏雷利,电机,93.62,9.996,32.44,5.2,7.200000000000001
祥明智能,电机,26.0,14.941999999999998,27.138,0.4,5.2
八方股份,电机,102.54,34.53,22.15,7.0,4.0
湘电股份,电机,225.72,-13.93,69.116,7.6,6.6
佳电股份,电机,75.64,14.580000000000002,46.432,5.2,6.0
凯中精密,电机,29.34,4.588,58.742,0.8,9.0
通达动力,电机,28.71,6.380000000000001,33.262,6.4,4.8
科力尔,电机,52.01,11.76,21.604,0.8,4.4
华瑞股份,电机,16.56,5.38,47.744,0.8,7.0
中电电机,电机,23.85,12.368,40.30800000000001,5.8,8.8
鸣志电器,电机,255.82,9.962,24.95,5.8,5.8
方正电机,电机,35.06,-15.486,43.208,1.4,4.800000000000001
微光股份,电机,58.35,17.734,15.742,5.8,7.4
正弦电气,电机,20.27,19.422000000000004,27.046000000000003,1.2000000000000002,5.6000000000000005
天富能源,电力行业,99.01,-1.662,69.522,7.0,3.4000000000000004
大连热电,电力行业,35.24,-9.662000000000004,73.38199999999999,5.2,5.6000000000000005
中国核电,电力行业,1386.03,10.971999999999998,71.03,8.8,7.8
川投能源,电力行业,660.65,11.866,28.866000000000003,7.6,7.8
华电国际,电力行业,594.22,0.356,66.208,2.4000000000000004,9.4
宁波能源,电力行业,52.3,8.011999999999999,49.484,5.2,6.2
中国广核,电力行业,1580.61,11.028000000000002,64.392,7.6,6.800000000000001
华能国际,电力行业,1415.97,-6.063999999999999,72.73999999999998,8.8,13.2
国投电力,电力行业,981.72,10.303999999999998,65.25399999999999,7.0,7.0
联美控股,电力行业,158.8,16.68,35.634,4.6,6.6000000000000005
深南电A,电力行业,65.82,-5.799999999999999,39.044,4.6,8.2
嘉泽新能,电力行业,106.38,10.772,65.94200000000001,5.2,7.4
金开新能,电力行业,131.42,-17.256,77.51200000000001,4.6,6.800000000000001
福能股份,电力行业,214.71,10.03,49.224,7.6,10.6
梅雁吉祥,电力行业,54.67,1.534,6.339999999999999,4.6,6.6
韶能股份,电力行业,50.25,3.76,58.10799999999999,5.8,3.4000000000000004
晋控电力,电力行业,103.69,-0.376,84.104,1.8000000000000005,7.8
桂冠电力,电力行业,447.72,15.066000000000004,57.716,7.6,11.2
甘肃能源,电力行业,91.55,5.965999999999999,60.45,2.0,7.6
申能股份,电力行业,341.21,6.35,50.082,9.4,11.0
建投能源,电力行业,128.28,-0.3219999999999995,61.186,7.6,10.4
粤电力Ａ,电力行业,380.65,-2.3260000000000005,63.432,7.6,9.2
晶科科技,电力行业,174.26,6.552,66.962,0.8,10.8
*ST金山,电力行业,37.41,-47.445,94.684,6.4,9.0
银星能源,电力行业,54.02,2.452,67.59599999999999,5.2,6.6
华电能源,电力行业,204.01,-34.568,89.094,6.4,8.8
长源电力,电力行业,149.29,5.89,59.54600000000001,5.8,9.2
京运通,电力行业,132.8,5.676,53.13,8.2,4.0
长江电力,电力行业,5299.82,14.888,49.006,6.4,13.8
广州发展,电力行业,226.11,4.068,52.694,6.4,8.600000000000001
太阳能,电力行业,257.62,7.486,61.186,8.2,8.600000000000001
内蒙华电,电力行业,231.05,7.326,56.502,6.4,7.0
国电电力,电力行业,670.62,2.94,69.55,15.0,4.4
龙源电力,电力行业,1693.16,9.175,61.886,6.4,8.2
广宇发展,电力行业,230.21,12.378,75.47800000000001,7.6,7.2
广西能源,电力行业,65.22,3.842,82.492,6.4,7.6
湖北能源,电力行业,305.83,6.609999999999999,45.838,3.0,9.0
豫能控股,电力行业,73.24,-16.592,75.056,5.8,7.2
川能动力,电力行业,212.83,8.426,52.44199999999999,5.8,5.8
上海电力,电力行业,289.56,3.5220000000000007,73.536,9.4,5.4
三峡能源,电力行业,1554.27,8.926,61.152,6.4,8.600000000000001
长青集团,电力行业,43.7,5.936000000000001,68.49,5.2,3.2
华能水电,电力行业,1270.8,10.772,63.254000000000005,4.0,12.4
江苏国信,电力行业,279.96,5.720000000000001,48.856,5.2,8.4
三峡水利,电力行业,170.37,7.053999999999999,45.904,5.8,2.6
明星电力,电力行业,37.97,4.646,29.082,4.6,10.4
立新能源,电力行业,84.84,7.659999999999999,72.18800000000002,4.0,9.2
世茂能源,电力行业,32.0,27.572000000000003,26.028,4.0,6.000000000000001
大唐发电,电力行业,584.81,-5.534,72.652,3.4,12.0
节能风电,电力行业,236.98,9.606,66.08200000000001,7.0,8.600000000000001
南网储能,电力行业,356.99,12.168,34.168,5.8,9.4
郴电国际,电力行业,27.42,1.244,72.8,4.6,8.8
通宝能源,电力行业,110.98,6.476000000000001,38.554,8.2,8.0
华银电力,电力行业,74.34,-22.122,88.34400000000001,7.6,8.600000000000001
乐山电力,电力行业,39.03,6.0280000000000005,52.846,5.2,11.4
京能电力,电力行业,249.71,0.8699999999999998,63.578,3.0,10.4
西昌电力,电力行业,31.21,3.818,63.21,7.0,9.8
陕西能源,电力行业,378.75,6.62,64.388,7.0,8.200000000000001
吉电股份,电力行业,151.23,4.336,75.836,7.6,9.6
宝新能源,电力行业,149.05,8.406,47.904,8.2,6.6000000000000005
东旭蓝天,电力行业,64.83,-2.678,55.8,5.2,4.800000000000001
深圳能源,电力行业,326.83,7.439999999999999,63.966,7.0,10.4
恒盛能源,电力行业,34.24,27.734,37.722,5.2,5.4
浙江新能,电力行业,276.54,6.792,64.51199999999999,8.8,9.8
黔源电力,电力行业,60.07,11.998,66.55799999999999,7.6,3.8
中闽能源,电力行业,103.52,12.073999999999998,56.15999999999999,6.4,8.2
浙能电力,电力行业,659.71,3.71,37.418,9.4,7.199999999999999
湖南发展,电力行业,56.3,3.5,6.258,4.0,4.0
闽东电力,电力行业,50.65,-0.618,50.018,1.4,9.0
绿能慧充,电力行业,42.73,-32.855999999999995,26.934000000000005,6.4,5.2
赣能股份,电力行业,85.08,2.166,44.504,7.6,12.000000000000002
永泰能源,电力行业,337.71,4.948,62.534000000000006,5.2,9.4
