name,industry,market_value,ROE_avg,asset_liability_avg,shareholder_capacity,management_capacity,topsis_score,topsis_score_percentage,rank
奥浦迈,专业服务,61.02,-9.0,25.89,3.6,6.6,28.85,29.58,32
实朴检测,专业服务,21.18,17.54,32.32,4.0,4.8,39.73,45.92,21
百普赛斯,专业服务,82.78,28.95,9.21,4.6,5.4,53.94,67.29,3
阿拉丁,专业服务,43.23,14.84,14.02,5.2,5.6,42.65,50.31,13
优宁维,专业服务,38.08,18.6,26.68,4.0,9.4,43.48,51.56,11
谱尼测试,专业服务,113.75,14.45,25.3,7.0,4.6,48.18,58.63,5
普蕊斯,专业服务,33.56,35.07,38.29,2.0,8.6,49.73,60.95,4
信测标准,专业服务,46.6,16.7,16.52,6.4,5.6,43.81,52.05,10
广电计量,专业服务,94.57,12.15,44.98,7.6,12.6,44.38,52.91,7
永安行,专业服务,34.9,8.75,31.26,5.2,6.4,35.85,40.09,30
三联虹普,专业服务,55.19,9.28,34.36,7.6,4.0,37.3,42.27,26
华测检测,专业服务,340.77,15.93,29.14,8.2,6.4,75.71,100.0,1
安车检测,专业服务,38.65,12.9,31.96,4.6,7.0,38.76,44.47,24
西测测试,专业服务,31.65,15.96,31.49,5.2,5.6,39.96,46.27,20
泰坦科技,专业服务,76.8,13.32,33.97,0.4,6.4,41.58,48.71,15
元隆雅图,专业服务,36.15,17.53,42.15,5.8,7.2,40.35,46.86,18
中纺标,专业服务,10.49,15.68,14.96,4.6,5.8,40.53,47.12,17
国检集团,专业服务,89.48,16.98,32.23,5.8,9.2,47.12,57.03,6
航天工程,专业服务,81.63,6.29,31.63,2.2,8.6,38.69,44.36,25
*ST天沃,专业服务,26.11,-16.61,92.01,5.2,6.8,9.17,0.0,33
电科院,专业服务,40.27,6.14,46.24,1.2,8.2,31.9,34.16,31
天纺标,专业服务,6.02,20.29,11.37,4.4,6.8,43.24,51.21,12
建研院,专业服务,25.79,9.86,24.84,1.2,8.6,37.06,41.92,27
零点有数,专业服务,28.32,10.4,25.98,5.2,5.4,37.05,41.91,28
中金辐照,专业服务,44.22,10.44,15.31,4.6,9.4,40.95,47.76,16
南网能源,专业服务,246.21,10.27,56.76,6.4,9.0,60.13,76.59,2
苏试试验,专业服务,87.93,13.53,49.82,9.4,7.4,42.4,49.94,14
国义招标,专业服务,7.58,14.1,38.56,2.4,9.0,36.69,41.36,29
建科股份,专业服务,43.44,15.87,40.2,4.0,5.4,39.44,45.49,22
西高院,专业服务,54.1,10.76,33.26,7.8,7.2,39.12,45.01,23
开普检测,专业服务,21.98,20.16,10.85,4.6,5.2,44.07,52.44,9
国缆检测,专业服务,39.94,19.76,23.76,5.2,7.0,44.19,52.63,8
钢研纳克,专业服务,44.91,13.03,35.45,6.4,10.2,40.13,46.52,19
舜禹股份,专用设备,61.25,15.29,53.33,5.2,8.8,55.56,62.61,87
林州重机,专用设备,41.37,-35.52,81.7,4.0,5.0,37.72,40.09,250
芯碁微装,专用设备,94.62,20.71,30.74,5.8,7.4,58.64,66.49,39
景业智能,专用设备,63.9,38.83,48.35,5.2,6.4,61.17,69.68,18
凯格精机,专用设备,46.65,25.8,50.63,4.0,5.0,57.37,64.89,48
博众精工,专用设备,122.65,18.46,53.89,4.6,6.8,58.88,66.79,34
迈为股份,专用设备,570.83,24.56,56.56,7.0,7.2,80.29,93.81,2
罗博特科,专用设备,79.17,7.49,57.9,2.2,6.0,53.69,60.24,136
仕净科技,专用设备,83.6,9.07,56.75,5.8,7.4,54.59,61.38,114
英维克,专用设备,168.81,13.36,48.24,0.8,7.6,59.53,67.61,28
巨能股份,专用设备,15.23,26.88,73.83,4.0,6.0,56.14,63.34,73
金银河,专用设备,62.46,7.04,62.47,4.0,6.2,52.92,59.28,158
博实股份,专用设备,192.04,14.57,40.8,2.0,10.0,61.36,69.92,17
迈得医疗,专用设备,35.92,13.2,15.65,6.4,4.6,54.21,60.9,122
捷佳伟创,专用设备,334.31,17.32,58.54,5.8,6.0,68.91,79.46,3
微导纳米,专用设备,221.27,-15.55,56.4,4.0,7.6,52.15,58.3,171
连城数控,专用设备,114.39,19.65,48.78,6.4,4.2,58.74,66.62,36
格力博,专用设备,114.64,6.82,85.94,5.8,5.2,54.53,61.31,115
英威腾,专用设备,89.15,5.38,44.57,0.4,6.8,53.64,60.19,138
泰林生物,专用设备,30.21,16.58,21.91,5.2,5.6,54.85,61.71,104
迦南科技,专用设备,27.23,4.2,47.62,0.8,6.0,50.9,56.72,203
骄成超声,专用设备,109.63,24.49,34.82,4.6,4.4,59.95,68.14,25
赛腾股份,专用设备,69.08,16.6,56.71,0.8,4.4,55.68,62.76,84
利和兴,专用设备,31.3,11.19,33.63,0.8,5.0,53.12,59.53,152
科瑞技术,专用设备,67.68,11.86,32.83,1.2,6.8,54.86,61.72,102
海源复材,专用设备,36.06,-18.41,36.96,0.4,7.4,44.34,48.45,246
德石股份,专用设备,27.92,9.51,29.68,4.6,8.4,52.97,59.34,157
荣旗科技,专用设备,48.01,44.1,45.92,4.0,7.0,61.52,70.13,16
豪森股份,专用设备,34.15,19.23,75.41,4.0,6.6,55.02,61.92,100
正帆科技,专用设备,96.28,12.5,55.07,6.4,8.4,56.22,63.44,71
步科股份,专用设备,50.48,17.98,19.69,1.2,6.0,55.92,63.06,79
天鹅股份,专用设备,26.84,3.56,42.79,0.4,7.4,50.86,56.67,205
卓然股份,专用设备,61.98,25.75,79.6,0.8,5.8,57.49,65.04,47
京山轻机,专用设备,113.99,0.24,57.44,6.4,6.6,53.07,59.46,154
捷强装备,专用设备,35.95,19.48,15.59,4.6,5.8,55.88,63.01,80
帝尔激光,专用设备,160.98,32.25,42.48,5.8,6.6,64.48,73.87,9
杰瑞股份,专用设备,290.63,13.46,35.68,6.4,9.0,66.21,76.05,5
日联科技,专用设备,113.91,13.7,44.35,4.6,5.8,57.21,64.69,51
浩洋股份,专用设备,91.8,18.79,12.49,6.4,7.0,58.2,65.94,43
华兴源创,专用设备,143.5,14.82,22.78,1.6,3.2,58.78,66.67,35
中信重工,专用设备,180.52,2.16,62.11,6.4,8.4,56.62,63.94,67
盛美上海,专用设备,456.41,44.84,42.66,7.6,9.6,85.19,100.0,1
华铁应急,专用设备,123.38,11.88,54.61,4.0,7.2,57.04,64.47,55
联测科技,专用设备,29.3,19.34,43.03,5.8,7.4,55.42,62.43,92
中国电研,专用设备,88.22,15.81,49.62,2.8,9.6,56.83,64.21,58
*ST中捷,专用设备,14.51,-124.34,65.54,0.4,5.8,5.95,0.0,252
艾隆科技,专用设备,21.2,14.33,34.6,6.4,7.0,53.92,60.53,127
石化机械,专用设备,73.01,1.41,74.83,7.0,7.0,51.62,57.64,192
卓郎智能,专用设备,48.71,1.57,59.1,0.4,0.4,50.25,55.9,216
上海机电,专用设备,165.27,9.3,60.1,7.0,10.0,58.37,66.15,41
光力科技,专用设备,76.68,7.77,17.58,5.2,6.0,54.33,61.06,119
乐惠国际,专用设备,53.18,4.08,57.66,4.0,6.8,51.82,57.89,185
誉辰智能,专用设备,27.9,39.72,81.64,5.6,6.6,59.35,67.39,30
国机重装,专用设备,237.33,5.12,53.2,5.2,8.6,60.37,68.68,22
航天动力,专用设备,66.69,-3.31,40.24,5.2,10.0,50.61,56.36,211
威领股份,专用设备,36.29,0.4,24.87,5.8,6.0,50.57,56.31,212
威派格,专用设备,40.52,8.93,33.57,1.2,6.8,52.98,59.36,156
东威科技,专用设备,160.79,34.28,55.97,5.2,6.8,64.71,74.16,8
星球石墨,专用设备,32.39,19.15,35.97,0.8,5.6,55.27,62.25,97
利元亨,专用设备,64.22,17.45,65.14,6.4,5.2,55.86,62.98,81
德固特,专用设备,29.66,14.19,33.17,4.0,6.6,54.11,60.77,124
合康新能,专用设备,63.31,-6.13,35.26,4.0,7.8,49.44,54.89,221
昌红科技,专用设备,86.93,10.31,25.33,6.4,6.4,55.46,62.48,91
银宝山新,专用设备,30.78,-47.6,83.28,0.8,8.6,33.31,34.52,251
兰石重装,专用设备,89.09,-12.0,78.7,5.2,8.2,47.88,52.91,232
文一科技,专用设备,22.34,-1.14,50.42,5.2,8.0,49.42,54.86,222
中兵红箭,专用设备,242.44,5.05,30.2,6.4,7.8,60.97,69.44,19
亚光股份,专用设备,39.46,27.45,69.69,4.0,5.2,57.21,64.69,50
花溪科技,专用设备,3.37,26.91,30.52,1.2,5.0,56.08,63.26,74
瑞星股份,专用设备,5.14,4.03,18.08,4.0,8.0,50.74,56.52,208
特瑞斯,专用设备,10.36,24.2,54.89,2.0,7.4,55.61,62.68,86
浩淼科技,专用设备,4.37,8.16,35.36,4.6,5.8,51.5,57.48,195
长城军工,专用设备,95.6,4.63,37.26,5.2,8.2,54.08,60.74,125
航天晨光,专用设备,62.54,0.51,55.34,5.2,7.8,51.25,57.16,197
科达制造,专用设备,219.0,11.68,51.2,2.6,9.0,61.57,70.19,15
博盈特焊,专用设备,49.79,35.26,45.65,4.6,6.2,59.81,67.97,27
青鸟消防,专用设备,132.77,18.02,28.77,1.2,6.4,59.4,67.45,29
弘亚数控,专用设备,80.22,23.5,25.78,5.8,5.8,58.66,66.51,38
双元科技,专用设备,51.44,29.89,56.33,5.2,6.8,58.62,66.46,40
锡装股份,专用设备,42.33,22.69,39.68,6.4,6.4,56.76,64.12,61
恒立钻具,专用设备,5.66,7.65,35.19,4.0,6.0,51.4,57.36,196
中亚股份,专用设备,33.49,7.9,31.78,4.6,7.0,52.59,58.86,163
蜀道装备,专用设备,38.82,-2.7,45.26,1.2,9.0,49.52,54.98,220
春光药装,专用设备,5.16,16.18,52.7,4.6,7.4,53.56,60.08,141
三友科技,专用设备,7.5,15.53,37.86,4.6,5.6,53.53,60.05,143
晶品特装,专用设备,54.24,13.87,66.54,5.8,7.6,54.64,61.45,110
南兴股份,专用设备,41.66,12.99,27.69,4.6,6.8,54.34,61.07,118
软控股份,专用设备,68.06,0.93,51.17,8.8,6.0,51.62,57.63,193
光电股份,专用设备,66.09,2.56,42.9,1.8,3.0,51.66,57.69,189
美腾科技,专用设备,28.71,66.64,55.93,4.0,6.8,63.98,73.23,10
一拖股份,专用设备,130.9,0.15,56.92,7.0,7.8,53.87,60.47,130
同力日升,专用设备,45.82,4.53,34.58,6.4,5.4,51.97,58.08,182
申菱环境,专用设备,77.18,13.64,58.05,2.0,7.8,55.5,62.53,89
联赢激光,专用设备,79.13,9.62,54.25,7.6,6.6,54.6,61.39,111
博杰股份,专用设备,51.49,25.17,29.26,4.0,6.4,57.79,65.42,46
安达智能,专用设备,38.38,22.29,19.3,6.4,6.6,56.75,64.11,62
美亚光电,专用设备,224.92,22.78,18.3,7.0,7.6,65.81,75.54,6
中船应急,专用设备,81.01,4.78,39.13,7.0,7.8,53.54,60.06,142
天永智能,专用设备,26.26,-5.75,56.4,4.6,4.4,47.75,52.75,234
伟创电气,专用设备,58.14,20.12,37.28,5.8,4.6,56.63,63.95,65
新时达,专用设备,77.98,-8.39,51.62,5.2,7.8,49.04,54.38,225
越剑智能,专用设备,28.05,16.6,28.94,5.0,6.4,54.75,61.58,106
华菱精工,专用设备,18.07,-0.51,55.71,0.8,6.4,49.13,54.49,224
中国一重,专用设备,231.11,1.07,68.14,5.8,6.6,58.26,66.02,42
凌云光,专用设备,124.03,11.27,45.17,5.2,8.6,57.19,64.66,52
强瑞技术,专用设备,23.72,25.03,25.57,4.6,6.0,56.66,64.0,64
华荣股份,专用设备,85.74,16.43,50.62,0.8,6.4,56.57,63.88,69
雷赛智能,专用设备,60.06,19.19,28.22,6.4,5.6,56.68,64.02,63
爱科科技,专用设备,17.3,18.7,25.49,4.0,6.0,54.86,61.72,103
盘古智能,专用设备,59.63,27.55,21.46,4.0,5.4,58.71,66.58,37
光启技术,专用设备,321.9,2.49,8.06,0.4,5.4,63.57,72.72,12
瀚川智能,专用设备,57.41,16.38,50.45,5.8,5.0,55.48,62.5,90
佳力图,专用设备,50.55,10.68,44.18,0.8,8.0,53.79,60.37,134
豪迈科技,专用设备,257.68,17.96,19.09,5.8,4.4,65.71,75.41,7
欧普泰,专用设备,6.13,27.23,43.9,0.4,6.2,56.16,63.36,72
世嘉科技,专用设备,26.83,-8.95,36.73,4.0,3.6,46.95,51.74,237
精准信息,专用设备,46.89,6.34,11.71,5.2,6.4,52.87,59.21,159
华强科技,专用设备,69.52,13.83,39.65,7.0,10.2,55.84,62.96,82
大族数控,专用设备,167.03,22.52,34.48,6.2,10.2,62.69,71.6,13
振华重工,专用设备,207.05,2.93,76.57,8.2,10.6,58.02,65.71,45
赛象科技,专用设备,33.26,0.12,22.45,0.8,5.6,50.21,55.85,217
至纯科技,专用设备,118.04,9.72,53.68,6.4,4.2,56.01,63.17,76
冀东装备,专用设备,20.34,5.91,80.1,5.2,7.8,51.0,56.85,201
中科美菱,专用设备,8.65,19.11,49.31,5.8,7.6,54.52,61.29,117
宏华数科,专用设备,113.33,23.95,21.26,2.0,7.0,60.25,68.53,23
绿岛风,专用设备,20.43,23.35,28.28,4.6,3.6,55.92,63.07,78
海得控制,专用设备,50.29,5.12,47.04,4.6,5.0,52.05,58.17,177
瑞奇智造,专用设备,6.65,22.24,62.93,4.6,5.2,54.83,61.69,105
欧克科技,专用设备,52.24,57.07,45.95,4.6,5.2,63.76,72.95,11
威海广泰,专用设备,49.71,8.54,40.49,4.0,6.6,53.21,59.64,148
坤恒顺维,专用设备,55.23,31.9,29.54,1.2,5.4,59.32,67.35,31
恒进感应,专用设备,10.16,29.53,33.52,6.4,6.4,57.16,64.62,53
德龙激光,专用设备,40.55,9.85,41.52,4.0,6.0,53.18,59.6,150
斯莱克,专用设备,75.09,10.27,44.8,0.4,7.0,54.53,61.31,116
天桥起重,专用设备,42.22,3.24,41.39,4.6,9.6,51.64,57.66,190
海目星,专用设备,91.44,16.18,69.72,5.8,5.8,56.59,63.91,68
永创智能,专用设备,71.32,10.35,56.4,7.6,8.2,54.59,61.38,113
神开股份,专用设备,20.63,1.59,31.06,4.6,7.0,50.34,56.02,215
新元科技,专用设备,26.65,-13.92,41.28,4.6,6.0,45.49,49.9,244
巨一科技,专用设备,53.07,12.65,66.12,4.6,6.4,54.14,60.82,123
矩子科技,专用设备,53.28,15.37,15.7,5.2,4.0,55.37,62.37,94
浙矿股份,专用设备,37.34,19.66,26.25,5.8,6.2,55.93,63.08,77
精工科技,专用设备,84.48,5.25,50.0,5.8,10.4,53.82,60.41,132
太原重工,专用设备,87.57,-2.39,84.68,5.8,7.6,50.84,56.66,206
南矿集团,专用设备,36.07,23.33,57.58,4.0,5.4,56.28,63.52,70
康力电梯,专用设备,70.32,9.37,49.85,6.4,8.0,54.31,61.03,120
深科达,专用设备,19.02,9.71,48.74,4.0,6.2,52.28,58.46,167
东杰智能,专用设备,35.15,5.62,46.7,4.0,10.4,52.04,58.17,178
克劳斯,专用设备,36.19,-9.64,70.24,4.6,9.8,47.11,51.94,236
英华特,专用设备,40.79,36.98,44.67,4.6,7.0,59.86,68.03,26
瑞松科技,专用设备,20.09,5.73,50.34,4.6,5.4,51.14,57.02,198
亿嘉和,专用设备,75.91,18.84,23.01,6.4,6.2,57.36,64.87,49
先惠技术,专用设备,37.07,7.42,39.6,5.2,6.0,52.43,58.66,165
天地科技,专用设备,236.31,7.9,42.56,7.0,10.6,61.65,70.29,14
合锻智能,专用设备,33.82,2.1,36.34,1.4,8.6,50.89,56.71,204
捷昌驱动,专用设备,74.23,16.12,27.23,6.4,7.6,56.62,63.94,66
利柏特,专用设备,45.18,12.44,46.62,0.8,8.2,54.05,60.7,126
福能东方,专用设备,32.62,-28.75,63.22,4.6,6.6,40.34,43.4,248
沪宁股份,专用设备,28.66,8.86,10.56,2.0,7.0,52.86,59.19,160
冀凯股份,专用设备,21.56,0.44,20.85,5.2,5.4,50.06,55.67,219
信邦智能,专用设备,34.47,19.42,44.47,1.2,6.6,55.41,62.41,93
慈星股份,专用设备,56.36,-6.48,29.44,4.6,4.8,48.94,54.25,226
大叶股份,专用设备,27.71,11.09,60.74,5.2,8.4,53.01,59.38,155
厚普股份,专用设备,54.93,-11.55,42.98,4.0,7.2,47.23,52.09,235
杭氧股份,专用设备,336.42,14.73,51.06,9.4,8.2,68.68,79.16,4
广日股份,专用设备,66.56,6.15,28.27,5.8,8.0,53.5,60.01,144
劲拓股份,专用设备,36.47,12.95,41.08,4.0,6.0,53.88,60.49,129
山东墨龙,专用设备,36.86,-12.49,70.1,5.2,6.0,45.89,50.41,242
达刚控股,专用设备,20.49,-4.22,35.45,0.8,8.4,48.52,53.73,229
智云股份,专用设备,18.61,-28.43,44.42,5.2,4.8,40.22,43.25,249
山东矿机,专用设备,49.21,4.83,24.12,5.8,6.8,52.42,58.64,166
泰瑞机器,专用设备,29.66,9.93,28.97,6.4,6.6,53.08,59.48,153
楚环科技,专用设备,21.18,39.44,63.05,5.0,6.6,59.29,67.31,32
*ST和科,专用设备,9.87,-8.55,19.47,5.8,4.6,46.95,51.74,238
远大智能,专用设备,45.38,-4.6,41.1,5.8,6.2,49.14,54.51,223
宝色股份,专用设备,40.18,6.28,63.21,4.0,8.0,52.01,58.12,179
国机通用,专用设备,20.0,7.81,41.77,4.6,7.4,51.98,58.09,180
迈赫股份,专用设备,35.08,11.27,44.53,5.2,6.2,53.38,59.86,146
利君股份,专用设备,78.13,8.01,20.91,4.6,8.6,54.6,61.39,112
天奇股份,专用设备,50.32,5.93,64.12,5.2,5.8,52.13,58.28,173
奥来德,专用设备,65.35,27.74,36.54,7.0,7.0,59.04,67.0,33
北方股份,专用设备,32.38,7.49,47.62,5.2,7.2,52.26,58.45,168
润邦股份,专用设备,49.2,5.01,46.3,0.8,8.2,52.1,58.25,175
耐科装备,专用设备,31.71,24.71,39.24,4.0,6.6,56.77,64.13,59
东方精工,专用设备,67.14,-0.24,39.17,5.8,4.0,51.12,57.01,199
中坚科技,专用设备,30.49,1.1,25.79,4.0,6.6,50.55,56.28,214
迪威尔,专用设备,53.14,8.12,29.32,7.0,8.0,53.58,60.1,140
华研精机,专用设备,44.86,20.23,38.05,4.6,4.6,56.07,63.25,75
伊之密,专用设备,93.44,20.03,54.4,5.2,8.2,58.12,65.83,44
开勒股份,专用设备,26.8,18.96,18.82,1.6,4.8,55.18,62.13,98
南风股份,专用设备,27.22,-13.11,22.58,6.4,7.2,46.23,50.83,240
南方路机,专用设备,26.01,29.15,67.74,4.0,5.4,57.12,64.57,54
远信工业,专用设备,19.74,28.35,50.38,4.0,5.6,56.94,64.35,56
创力集团,专用设备,39.48,11.22,45.35,4.0,8.0,53.62,60.16,139
高澜股份,专用设备,43.58,11.53,48.44,5.8,5.6,53.69,60.25,135
星光农机,专用设备,26.08,-18.09,41.44,4.0,9.4,44.4,48.52,245
炜冈科技,专用设备,25.76,21.1,26.34,4.0,4.8,55.68,62.75,85
快意电梯,专用设备,26.03,8.12,37.2,7.0,4.6,52.21,58.37,170
信捷电气,专用设备,56.53,16.43,22.96,5.2,4.4,55.74,62.83,83
弘宇股份,专用设备,18.79,3.94,18.02,1.2,6.2,50.95,56.79,202
如通股份,专用设备,21.86,5.67,10.59,4.0,4.4,51.59,57.6,194
蓝英装备,专用设备,35.71,-9.3,67.79,4.6,5.0,46.82,51.57,239
智信精密,专用设备,34.14,23.97,30.21,4.0,6.2,56.77,64.13,60
蓝海华腾,专用设备,26.54,2.22,34.95,4.0,5.8,50.56,56.29,213
均普智能,专用设备,65.22,15.94,83.13,1.2,6.6,55.14,62.07,99
国安达,专用设备,44.38,13.61,15.98,4.0,6.8,54.73,61.56,107
大豪科技,专用设备,141.97,17.76,15.14,2.4,9.2,60.18,68.44,24
上海亚虹,专用设备,20.02,7.96,25.84,4.6,6.2,52.14,58.29,172
克来机电,专用设备,44.69,12.32,27.14,7.0,5.8,54.28,61.0,121
弘讯科技,专用设备,36.54,4.63,33.76,7.0,7.6,51.87,57.95,184
凯迪股份,专用设备,28.33,19.01,35.0,5.8,6.0,55.3,62.28,96
鸿铭股份,专用设备,18.59,17.4,22.42,4.6,6.8,54.69,61.5,109
百胜智能,专用设备,30.1,16.98,29.19,4.6,6.0,54.88,61.75,101
大宏立,专用设备,19.81,11.6,24.84,4.0,7.2,53.19,59.62,149
三丰智能,专用设备,52.26,-9.6,39.35,1.2,7.4,47.75,52.75,233
长荣股份,专用设备,26.46,-4.64,50.9,7.0,7.4,48.5,53.7,230
江苏北人,专用设备,20.81,8.1,42.69,0.4,4.6,51.73,57.77,188
田中精机,专用设备,28.2,-18.03,65.87,4.6,5.8,43.81,47.78,247
电光科技,专用设备,32.91,6.21,30.31,5.2,6.8,52.12,58.26,174
耐普矿机,专用设备,28.78,13.24,33.46,4.0,6.2,53.79,60.37,133
金明精机,专用设备,22.87,1.94,14.98,4.6,7.4,50.76,56.55,207
燕麦科技,专用设备,25.09,12.9,7.73,4.0,5.8,53.83,60.42,131
新美星,专用设备,20.51,7.8,58.87,7.0,6.0,51.74,57.79,187
蓝科高新,专用设备,25.63,-3.97,45.25,1.4,6.4,48.49,53.68,231
华立科技,专用设备,31.32,7.91,46.19,5.2,5.6,52.24,58.42,169
通用电梯,专用设备,18.08,7.4,30.41,4.6,6.4,51.87,57.95,183
法兰泰克,专用设备,35.76,12.48,56.36,5.8,6.8,53.64,60.19,137
优德精密,专用设备,29.92,6.11,28.81,5.8,7.2,52.05,58.18,176
爱司凯,专用设备,18.81,0.74,12.58,4.6,5.6,50.16,55.79,218
上工申贝,专用设备,40.08,3.67,40.86,6.4,10.2,51.8,57.86,186
泰坦股份,专用设备,28.84,9.17,43.16,4.6,6.4,52.58,58.85,164
梅轮电梯,专用设备,23.49,4.31,37.99,6.4,5.4,51.07,56.94,200
新益昌,专用设备,128.29,23.13,50.57,5.2,6.6,60.45,68.77,21
佰奥智能,专用设备,16.99,8.3,31.8,1.6,6.6,51.98,58.09,181
凯尔达,专用设备,32.25,18.0,31.38,4.0,8.0,55.32,62.3,95
建科机械,专用设备,18.27,12.31,28.91,1.8,6.6,53.16,59.58,151
唯赛勃,专用设备,29.12,11.6,17.44,5.2,4.6,53.47,59.96,145
精智达,专用设备,93.44,10.16,33.9,4.6,6.8,55.54,62.59,88
标准股份,专用设备,18.82,-3.7,31.48,8.2,8.4,48.93,54.24,227
展鹏科技,专用设备,22.37,8.49,13.85,4.0,7.6,52.6,58.87,162
智立方,专用设备,53.51,38.3,20.45,5.2,6.2,60.9,69.35,20
金自天正,专用设备,28.96,4.41,54.07,6.4,1.2,50.74,56.52,209
泰禾智能,专用设备,22.9,5.42,17.82,5.2,6.0,51.63,57.65,191
森赫股份,专用设备,25.02,12.47,46.21,5.8,6.8,53.38,59.86,147
杰克股份,专用设备,99.83,14.33,43.47,5.8,6.8,56.92,64.32,57
巨轮智能,专用设备,84.02,-3.78,44.5,5.8,4.6,50.61,56.36,210
瑞晟智能,专用设备,14.56,18.97,33.46,5.2,5.4,54.72,61.55,108
ST工智,专用设备,35.84,-13.96,60.61,5.8,7.0,45.62,50.06,243
金盾股份,专用设备,27.16,-13.22,28.33,5.8,5.4,45.92,50.45,241
昆工科技,专用设备,23.85,14.76,39.36,5.2,5.4,53.91,60.53,128
达 意 隆,专用设备,18.3,-1.21,60.9,4.6,5.4,48.9,54.2,228
道森股份,专用设备,65.62,5.65,47.93,4.6,5.4,52.8,59.12,161
精华制药,中药,77.51,2.6,20.47,7.0,7.6,47.61,48.02,49
太极集团,中药,281.23,-0.66,78.23,8.2,12.8,48.88,49.61,35
华森制药,中药,64.44,12.24,26.49,5.8,6.4,48.99,49.76,31
佛慈制药,中药,57.7,5.84,35.49,6.4,7.8,47.48,47.86,50
同仁堂,中药,714.12,11.74,30.61,9.4,2.6,61.22,65.16,3
达仁堂,中药,299.63,12.34,30.05,5.8,5.6,52.72,54.45,9
陇神戎发,中药,29.76,1.2,14.87,4.6,7.4,46.71,46.88,60
龙津药业,中药,38.13,-1.66,17.51,5.8,8.4,46.27,46.33,62
以岭药业,中药,411.16,13.8,21.81,5.8,7.2,55.69,58.19,6
华润三九,中药,494.19,14.62,36.83,8.8,17.0,58.48,61.72,4
香雪制药,中药,35.78,-6.86,61.38,0.4,5.4,42.88,42.06,71
特一药业,中药,50.01,11.98,46.22,6.4,5.4,48.02,48.53,46
葵花药业,中药,125.79,19.37,33.64,0.8,9.2,51.15,52.48,10
汉森制药,中药,33.87,9.31,18.66,4.6,6.8,48.23,48.8,42
众生药业,中药,136.54,4.91,27.08,5.8,8.4,48.83,49.55,36
步长制药,中药,225.3,7.74,37.88,7.0,7.8,50.51,51.67,13
启迪药业,中药,21.15,2.37,30.51,6.4,4.8,46.08,46.08,65
葫芦娃,中药,61.26,14.5,45.67,4.0,4.8,48.54,49.19,39
上海凯宝,中药,74.37,12.32,10.1,5.2,6.6,49.67,50.61,22
佐力药业,中药,73.15,7.05,29.62,7.0,9.2,48.34,48.94,41
太龙药业,中药,32.88,-1.31,53.05,0.8,7.4,44.7,44.35,69
广誉远,中药,154.58,-2.05,31.4,5.8,5.8,47.11,47.38,58
维康药业,中药,32.58,15.84,27.45,4.0,6.2,49.1,49.89,29
益佰制药,中药,42.76,-2.72,34.25,5.8,5.6,45.16,44.93,68
九 芝 堂,中药,97.41,7.03,21.54,5.8,8.0,48.8,49.51,38
云南白药,中药,967.25,9.86,26.8,2.4,10.4,69.18,75.19,2
中恒集团,中药,89.74,7.44,24.82,10.8,8.6,48.92,49.66,34
江中药业,中药,116.45,13.73,19.51,8.2,8.8,50.64,51.84,12
沃华医药,中药,34.34,16.44,25.77,6.4,8.6,49.62,50.54,23
寿仙谷,中药,83.03,12.93,20.52,5.2,6.8,49.61,50.54,24
*ST目药,中药,11.31,-100.17,83.49,4.6,4.8,9.5,0.0,74
盘龙药业,中药,34.31,11.53,35.91,5.2,6.8,48.14,48.68,45
天士力,中药,206.21,-2.03,23.58,8.2,7.0,48.52,49.16,40
白云山,中药,514.56,13.76,53.95,8.8,7.4,56.9,59.71,5
千金药业,中药,44.93,13.59,33.66,8.2,7.8,48.98,49.74,32
益盛药业,中药,28.06,4.11,22.35,7.4,7.0,47.1,47.37,59
马应龙,中药,107.89,13.63,22.27,7.0,10.0,50.49,51.65,14
大理药业,中药,23.77,-1.57,20.25,1.6,6.2,45.59,45.47,66
金陵药业,中药,40.79,4.82,18.93,6.4,9.4,47.77,48.22,48
仁和药业,中药,92.26,13.62,13.88,0.8,7.4,49.99,51.01,17
仁和药业,中药,92.26,13.62,13.88,0.8,7.4,49.99,51.01,18
红日药业,中药,160.12,6.92,24.02,1.2,9.4,49.67,50.61,21
红日药业,中药,160.12,6.92,24.02,1.2,9.4,49.67,50.61,20
康缘药业,中药,112.18,9.5,29.3,7.6,8.6,49.4,50.27,28
亚宝药业,中药,53.44,4.8,31.74,4.0,7.6,47.22,47.52,56
亚宝药业,中药,53.44,4.8,31.74,4.0,7.6,47.22,47.52,55
信邦制药,中药,90.97,-1.2,41.48,5.2,8.4,46.23,46.28,63
方盛制药,中药,41.58,9.04,43.15,8.2,5.4,47.47,47.84,51
新光药业,中药,25.2,12.64,8.46,0.8,6.6,48.92,49.66,33
东阿阿胶,中药,321.34,5.59,15.08,7.6,12.0,53.21,55.07,8
新天药业,中药,29.28,11.03,38.78,0.4,7.6,47.8,48.25,47
莱茵生物,中药,56.99,6.69,38.9,4.0,4.8,47.12,47.4,57
华神科技,中药,32.29,4.89,26.57,4.6,9.2,47.31,47.64,52
桂林三金,中药,92.25,12.99,23.73,4.6,5.6,49.51,50.41,26
恩威医药,中药,27.82,19.11,29.63,4.6,5.4,49.5,50.39,27
羚锐制药,中药,85.38,11.76,40.64,8.2,8.0,49.02,49.79,30
济川药业,中药,231.26,25.09,26.94,5.8,5.2,53.79,55.81,7
贵州百灵,中药,115.44,6.62,40.41,5.8,6.6,48.19,48.74,44
