name,industry,market_value,ROE_avg,asset_liability_avg,shareholder_capacity,management_capacity,topsis_score,topsis_score_percentage,rank
民士达,造纸印刷,24.54,12.36,25.61,7.6,5.4,41.76,41.22,17
新宏泽,造纸印刷,19.05,10.11,20.76,7.0,4.6,39.27,37.48,22
青山纸业,造纸印刷,73.09,4.22,28.43,5.2,8.6,39.08,37.19,24
京华激光,造纸印刷,26.62,12.61,20.3,4.0,7.4,42.9,42.93,15
金徽酒,酿酒行业,139.04,11.69,22.28,5.8,12.6,52.83,53.69,12
古越龙山,酿酒行业,103.55,4.14,14.24,7.6,9.2,52.45,53.22,18
酒鬼酒,酿酒行业,345.66,19.54,30.62,8.8,7.8,52.81,53.66,14
ST通葡,酿酒行业,15.09,-5.88,46.15,5.2,6.8,50.9,51.34,34
舍得酒业,酿酒行业,509.29,21.66,40.16,7.6,15.6,53.44,54.43,7
老白干酒,酿酒行业,259.51,13.09,49.16,8.2,10.4,52.22,52.94,22
重庆啤酒,酿酒行业,441.72,57.35,71.83,8.2,3.0,52.82,53.68,13
百润股份,酿酒行业,383.35,15.73,26.83,6.4,6.2,52.6,53.41,16
迎驾贡酒,酿酒行业,562.32,21.89,31.04,6.4,8.8,53.15,54.08,10
金枫酒业,酿酒行业,49.37,-0.35,15.7,6.4,7.6,52.02,52.7,25
会稽山,酿酒行业,60.36,6.34,23.5,6.4,9.2,52.25,52.98,21
金种子酒,酿酒行业,184.31,-2.95,25.46,7.6,9.2,51.99,52.66,26
山西汾酒,酿酒行业,2861.67,34.81,47.21,8.2,9.8,56.01,57.54,4
中葡股份,酿酒行业,91.81,-11.87,10.55,1.4,9.4,51.78,52.41,29
天佑德酒,酿酒行业,70.84,1.29,16.41,0.4,6.4,51.85,52.5,28
青岛啤酒,酿酒行业,1315.8,11.79,47.4,9.4,10.2,53.37,54.34,8
伊力特,酿酒行业,123.56,11.81,23.83,8.8,1.8,51.9,52.56,27
兰州黄河,酿酒行业,19.08,-2.68,19.35,4.6,7.2,51.74,52.36,30
海南椰岛,酿酒行业,53.69,-13.85,55.29,0.8,5.0,50.11,50.38,36
洋河股份,酿酒行业,2179.1,21.39,31.98,6.4,9.4,55.0,56.33,5
惠泉啤酒,酿酒行业,28.52,2.38,8.29,8.2,8.6,52.4,53.17,19
燕京啤酒,酿酒行业,315.96,1.79,26.04,8.2,9.0,52.29,53.04,20
今世缘,酿酒行业,769.01,21.98,32.44,5.2,8.4,53.28,54.24,9
珠江啤酒,酿酒行业,203.18,6.03,30.58,7.6,8.8,52.2,52.92,23
口子窖,酿酒行业,363.6,22.52,26.13,5.8,7.8,52.98,53.87,11
顺鑫农业,酿酒行业,210.66,3.86,63.23,8.2,7.2,51.16,51.65,32
张 裕Ａ,酿酒行业,228.79,7.23,21.06,7.0,10.6,52.65,53.46,15
五 粮 液,酿酒行业,6932.55,24.72,24.93,9.4,11.6,62.22,65.09,2
古井贡酒,酿酒行业,1425.11,21.66,33.25,8.2,9.8,54.17,55.32,6
泸州老窖,酿酒行业,3501.56,28.01,31.7,8.8,10.8,57.09,58.86,3
永顺泰,酿酒行业,88.2,7.35,22.23,5.0,7.6,52.18,52.89,24
水井坊,酿酒行业,354.89,39.91,49.15,7.0,1.2,52.49,53.27,17
岩石股份,酿酒行业,88.13,7.09,42.68,4.0,6.6,51.55,52.13,31
贵州茅台,酿酒行业,23597.3,31.82,22.53,7.6,7.4,90.96,100.0,1
*ST皇台,酿酒行业,30.16,11.49,95.35,5.8,7.8,50.46,50.81,35
威龙股份,酿酒行业,31.84,-7.82,41.72,1.6,7.4,50.93,51.37,33
*ST西发,酿酒行业,16.06,-646.93,59.33,1.2,5.2,8.63,0.0,37
博迈科,采掘行业,37.72,3.15,30.92,5.8,6.0,54.12,61.79,11
金石资源,采掘行业,153.78,20.65,43.84,7.0,8.6,64.64,75.82,4
海油工程,采掘行业,275.01,2.0,31.77,12.4,6.2,63.88,74.81,5
中油工程,采掘行业,228.35,3.16,75.7,7.0,7.6,59.83,69.4,8
石化油服,采掘行业,417.66,5.57,89.49,7.6,8.6,68.42,80.86,2
海默科技,采掘行业,24.66,-10.72,44.52,5.2,5.8,46.01,50.97,15
广东宏大,采掘行业,198.07,8.87,49.81,6.4,8.0,62.36,72.78,7
惠博普,采掘行业,51.58,-4.22,48.45,4.6,6.4,50.25,56.63,13
