id,name,ROE_2022,ROE_2021,ROE_2020,ROE_2019,ROE_2018,asset_liability_2022,asset_liability_2021,asset_liability_2020,asset_liability_2019,asset_liability_2018
2846,英联股份,-5.31,4.04,10.18,12.83,7.71,70.67,63.59,52.04,48.07,45.67
688041,海光信息,8.49,6.41,-1.16,-3.97,-6.73,16.89,40.12,38.19,49.94,40.59
688372,伟测科技,19.83,18.04,12.51,9.91,10.55,29.71,42.72,33.77,40.71,50.56
688153,唯捷创芯,1.85,-8.25,-17.85,-17.45,-20.79,9.3,46.12,53.33,59.5,38.29
688458,美芯晟,8.10,11.29,-8.83,-14.86,,9.04,9.67,27.21,23.83,
688595,芯海科技,0.28,10.46,20.33,18.58,14.14,35.49,11.62,16.05,21.34,27.01
688107,安路科技,3.84,-7.42,-1.96,20.08,-12.09,14.43,12.76,26.93,22.56,50.22
300661,圣邦股份,29.95,36.92,22.73,18.25,12.84,20.55,21.14,19.73,19.57,17.49
688047,龙芯中科,1.96,18.80,7.10,45.25,2.68,10.94,30.02,31.81,24.7,45.28
688052,纳芯微,5.70,51.62,28.19,-20.83,6.84,5.28,33.91,26.08,22.04,25.74
688002,睿创微纳,8.43,14.74,22.28,12.79,27.61,31.4,22.64,17.35,7.93,15.55
688478,晶升股份,6.91,17.25,21.76,,,14.71,12.59,23.62,52.34,
