公司代码,公司名称,2022年ROE,2021年ROE,2020年ROE,2019年ROE,2018年ROE,2022年资产负债率,2021年资产负债率,2020年资产负债率,2019年资产负债率,2018年资产负债率
919,金陵药业,3.54,4.16,2.26,5.08,9.05,20.17,20.53,19.85,17.64,16.45
650,仁和药业,10.42,12.80,13.92,15.11,15.83,15.85,14.20,11.46,12.69,15.20
300026,红日药业,7.78,9.20,8.22,6.12,3.29,33.00,31.49,27.39,16.09,12.13
600557,康缘药业,9.61,7.57,6.49,12.94,10.87,27.40,25.68,29.28,33.11,31.04
600351,亚宝药业,3.56,6.57,3.93,0.50,9.46,27.22,27.30,29.79,36.83,37.58
2390,信邦制药,3.36,4.73,3.56,4.85,-22.50,27.86,29.08,46.51,51.55,52.38
603998,方盛制药,19.24,5.98,5.56,7.25,7.17,48.40,51.80,43.56,39.73,32.25
300519,新光药业,12.88,13.80,12.26,12.16,12.12,10.32,9.24,7.17,7.13,8.42
423,东阿阿胶,7.68,4.46,0.44,-4.22,19.59,18.05,14.04,10.71,14.30,18.32
2873,新天药业,12.05,11.70,9.76,10.72,10.91,38.76,41.59,46.07,34.60,32.89
2166,莱茵生物,7.76,6.48,4.86,6.77,7.57,30.12,41.68,42.80,32.39,47.51
790,华神科技,4.15,5.81,3.63,7.11,3.75,40.04,27.26,19.96,22.64,22.93
2275,桂林三金,11.26,11.55,9.63,14.10,18.43,29.04,30.67,23.78,17.57,17.60
301331,恩威医药,8.62,16.77,22.98,19.80,27.37,18.00,26.10,30.91,35.23,37.89
600285,羚锐制药,5.50,19.28,17.07,11.36,5.58,39.74,41.11,40.18,42.26,39.89
600566,济川药业,21.91,20.46,19.89,28.43,34.74,24.22,24.73,26.18,29.55,30.00
2424,贵州百灵,3.52,3.08,3.84,7.13,15.53,42.03,40.11,44.26,41.32,34.33
600080,金花股份,2.00,-1.08,2.20,1.49,2.39,14.72,11.44,12.11,13.34,10.30
2287,奇正藏药,13.98,23.21,16.95,17.18,16.44,42.45,42.16,40.94,24.20,11.57
600436,片仔癀,23.50,27.68,23.07,23.64,24.98,19.04,19.04,19.10,20.90,20.28
603439,贵州三力,17.74,15.27,10.98,22.77,23.18,31.84,26.54,22.00,10.91,10.18
600572,康恩贝,5.03,32.56,9.53,-6.85,14.00,32.99,32.28,42.35,49.87,45.97
2433,*ST太安,-19.80,-16.67,0.42,1.84,5.36,43.21,39.91,40.28,38.70,38.69
300108,*ST吉药,72.63,-232.41,-173.75,-133.26,10.43,116.48,118.67,99.01,87.32,53.67
603567,珍宝岛,2.62,5.66,8.15,8.00,9.59,39.13,38.72,46.23,41.79,39.09
836433,大唐药业,2.95,11.83,17.30,25.53,25.09,25.31,21.90,20.56,35.71,47.02
833266,生物谷,-4.73,8.03,7.62,10.38,8.84,18.63,17.94,16.13,23.64,29.29
600422,昆药集团,7.89,11.00,10.62,11.35,8.78,45.48,44.45,43.33,41.71,42.71
2198,嘉应制药,6.22,0.22,-16.87,-16.87,4.67,13.96,15.22,15.52,22.52,11.71
603139,康惠制药,-6.24,3.57,3.44,4.45,6.00,43.68,40.06,18.17,10.07,11.79
600518,ST康美,-31.87,-120.39,-416.16,-21.20,0.63,53.79,37.91,131.24,68.03,64.30
2118,*ST紫鑫,-55.07,-30.81,-16.75,-16.75,4.13,84.78,74.40,64.40,58.28,56.54
2826,易明医药,6.04,6.06,6.14,5.88,4.14,26.34,12.66,24.33,21.93,18.41
600976,健民集团,25.27,23.01,11.73,7.71,7.29,45.67,47.90,45.26,37.37,33.51
600655,豫园股份,10.85,10.50,10.57,8.97,11.91,69.15,68.46,65.96,62.74,62.30
200026,飞亚达Ｂ,8.68,13.39,10.78,8.21,7.30,23.82,26.70,30.33,29.42,28.60
605599,菜百股份,14.11,14.25,16.93,19.02,19.45,37.81,38.57,45.15,47.27,47.58
301177,迪阿股份,10.68,32.61,63.02,45.56,64.35,22.83,16.96,42.10,35.33,34.93
2721,*ST金一,-275.25,-112.84,-102.06,1.35,-1.17,171.83,96.80,77.32,63.30,65.13
900905,老凤祥Ｂ,17.60,21.74,21.03,21.16,20.26,53.93,51.25,51.88,51.45,52.31
2867,周大生,18.28,21.33,20.15,22.91,22.18,20.49,17.37,19.01,19.90,32.59
