公司代码,公司名称,2022年ROE,2021年ROE,2020年ROE,2019年ROE,2018年ROE,2022年资产负债率,2021年资产负债率,2020年资产负债率,2019年资产负债率,2018年资产负债率
300984,金沃股份,6.91,13.60,22.54,29.30,35.62,45.49,31.29,48.33,48.15,55.13
300126,锐奇股份,0.36,0.95,1.15,0.95,-4.46,17.59,22.17,19.52,18.02,20.25
301273,瑞晨环保,10.97,28.48,32.00,23.67,33.06,22.25,51.42,54.34,47.78,49.70
2480,新筑股份,-21.61,-6.75,2.28,-8.14,0.56,75.84,60.42,62.46,69.64,64.93
873305,九菱科技,11.89,18.46,19.73,31.69,20.22,16.29,22.66,26.70,30.08,27.91
688059,华锐精密,16.76,21.29,24.27,24.61,29.76,41.15,22.64,33.51,39.33,37.61
300606,金太阳,4.31,12.75,14.89,11.31,11.09,27.57,32.31,30.22,17.80,17.67
301125,腾亚精工,9.77,19.11,28.53,46.50,41.86,12.64,35.39,25.17,49.00,46.82
301202,朗威股份,14.33,17.35,20.50,22.46,17.02,50.09,62.22,62.69,60.03,60.01
301309,万得凯,18.32,30.32,26.67,25.27,43.07,9.97,45.17,43.26,52.39,47.93
600421,华嵘控股,-26.79,-27.88,33.43,60.27,-584.44,63.65,56.80,48.60,55.12,74.27
300421,力星股份,5.00,7.55,5.37,3.45,6.23,29.01,26.95,22.28,20.25,24.30
603667,五洲新春,6.97,6.64,3.50,6.01,7.85,45.38,51.56,44.33,41.43,39.93
300420,五洋停车,2.29,-7.19,0.07,9.66,8.77,29.24,37.34,31.28,35.65,28.49
688165,埃夫特-U,-9.53,-9.71,-9.34,-2.61,-1.54,47.16,38.78,36.01,42.23,42.28
833751,惠同新材,15.59,12.79,10.35,14.14,10.05,26.76,29.56,30.27,32.65,24.33
300441,鲍斯股份,7.36,18.58,7.24,-9.98,8.04,36.46,41.81,44.82,43.11,38.66
2122,汇洲智能,11.10,-62.90,10.15,-68.77,-17.96,34.60,77.26,60.27,63.66,56.31
688577,浙海德曼,7.15,9.28,11.76,14.64,23.77,37.30,33.57,26.94,42.14,45.50
688308,欧科亿,14.69,15.89,14.82,13.88,11.85,22.22,22.68,19.39,32.68,37.05
301137,哈焊华通,4.12,13.18,14.10,13.19,13.87,36.30,57.82,60.11,48.15,46.05
301268,铭利达,23.14,20.61,30.36,21.28,26.22,52.83,62.77,60.30,68.65,68.14
300817,双飞股份,6.33,10.93,9.36,14.52,16.16,19.19,20.33,22.43,20.84,23.63
530,冰山冷热,0.61,-8.31,0.64,2.63,3.21,59.74,46.83,39.29,37.49,37.89
300091,金通灵,-12.19,-1.78,-2.54,4.38,5.28,60.53,56.50,59.43,58.03,57.77
605060,联德股份,12.62,9.52,19.52,24.43,28.37,21.42,16.85,14.04,14.44,24.49
300885,海昌新材,7.52,11.72,14.97,21.96,20.73,6.03,7.50,4.60,10.62,13.75
301311,昆船智能,10.53,10.77,10.97,12.44,21.28,61.06,72.97,72.88,75.28,84.30
688448,磁谷科技,9.19,18.11,20.01,24.66,39.00,25.70,43.17,45.51,58.11,68.38
301255,通力科技,22.92,27.57,21.81,17.67,23.19,19.62,33.93,43.84,49.15,54.55
969,安泰科技,4.33,3.67,2.28,3.78,-4.90,42.62,40.72,39.20,41.89,44.77
2426,胜利精密,-5.62,0.85,8.87,-53.67,-10.42,50.04,50.42,59.03,69.39,58.26
873576,天力复合,23.65,17.30,16.18,30.68,14.63,52.05,56.40,56.41,64.32,71.46
890,法尔胜,-30.08,87.91,0.00,-323.32,-17.66,88.48,88.61,98.21,103.10,91.29
548,湖南投资,1.89,2.86,4.96,3.29,2.44,44.50,34.02,20.75,26.56,23.20
600611,大众交通,-2.76,3.36,5.71,10.83,9.85,49.24,47.13,43.12,40.50,40.89
1965,招商公路,8.52,9.20,4.44,9.21,8.75,41.14,35.60,36.46,40.67,40.77
601107,四川成渝,4.37,11.35,4.37,7.27,5.97,53.50,54.70,59.14,57.18,58.89
828,东莞控股,9.03,11.42,12.15,15.56,17.28,44.93,32.22,35.49,37.27,40.57
600834,申通地铁,4.49,4.64,4.90,4.52,2.25,36.50,45.69,45.53,46.28,45.97
600662,外服控股,14.21,17.27,23.79,27.46,2.18,71.19,70.93,75.69,49.39,41.00
603069,海汽集团,4.09,-7.29,-8.97,4.42,5.39,52.13,48.90,46.86,43.16,42.66
600020,中原高速,0.40,6.17,1.34,12.94,4.06,74.60,73.51,74.81,75.00,77.64
600269,赣粤高速,4.21,5.57,3.33,7.25,7.94,45.94,48.29,49.82,51.25,50.83
200429,粤高速Ｂ,14.30,20.11,8.27,14.18,19.10,43.91,40.02,48.19,38.56,38.35
600377,宁沪高速,11.23,13.90,8.28,15.89,17.71,51.63,49.31,45.91,41.24,39.05
600368,五洲交通,10.61,13.85,12.36,22.30,12.43,42.56,45.26,54.80,61.11,66.68
755,山西路桥,10.13,11.46,-4.22,9.96,2.76,64.32,69.47,77.71,85.79,88.60
429,粤高速Ａ,14.30,20.11,8.27,14.18,19.10,43.91,40.02,48.19,38.56,38.35
600620,天宸股份,1.54,5.38,3.95,2.88,2.72,36.89,14.52,16.00,17.16,19.05
600350,山东高速,8.28,9.87,6.86,10.69,10.25,61.87,62.83,60.68,57.54,57.26
600012,皖通高速,12.48,12.58,7.74,10.39,11.56,36.61,40.04,41.52,27.33,28.41
600106,重庆路桥,4.50,6.10,6.02,6.89,6.35,35.32,36.42,40.05,41.96,45.81
603032,德新科技,18.40,9.85,-1.27,1.05,45.97,43.92,45.70,16.19,17.55,14.27
