公司代码,公司名称,2022年ROE,2021年ROE,2020年ROE,2019年ROE,2018年ROE,2022年资产负债率,2021年资产负债率,2020年资产负债率,2019年资产负债率,2018年资产负债率
601669,中国电建,9.95,7.85,7.76,8.36,9.62,76.89,75.97,74.74,76.18,79.97
2051,中工国际,3.08,2.67,-0.79,10.14,13.61,49.21,50.89,50.68,49.93,54.06
2307,北新路桥,1.39,1.91,2.81,3.89,2.83,89.16,88.34,88.37,86.06,83.51
2761,浙江建投,15.20,18.79,24.73,16.25,19.49,90.79,91.52,91.54,92.46,89.81
600039,四川路桥,26.78,24.00,15.32,11.49,8.67,77.92,78.18,77.73,82.33,82.02
603176,汇通集团,7.50,10.85,13.96,16.83,5.36,79.03,73.14,77.36,79.21,79.11
601868,中国能建,8.46,8.55,7.90,9.66,--,74.79,71.69,71.03,73.13,75.56
601186,中国铁建,11.05,11.10,11.45,12.03,12.00,74.67,74.39,74.76,75.77,77.41
601133,柏诚股份,21.55,15.62,14.47,24.40,30.71,55.59,57.98,54.98,54.17,45.72
498,山东路桥,20.40,22.15,16.47,8.13,7.36,77.67,76.00,76.59,72.83,72.91
601668,中国建筑,13.94,15.90,15.53,15.60,15.97,74.35,73.21,73.67,75.33,76.94
600491,龙元建设,3.13,5.72,7.36,10.05,11.16,79.85,80.35,79.98,80.28,79.30
601117,中国化学,10.71,11.21,10.52,9.88,6.31,70.02,70.49,70.06,67.56,63.91
300712,永福股份,6.81,3.83,5.07,7.63,8.18,59.13,61.38,52.54,57.67,34.54
601789,宁波建工,8.27,12.06,8.78,8.52,8.25,77.79,79.63,79.63,79.37,79.21
600248,陕建股份,20.70,23.77,26.42,19.75,12.15,88.76,90.11,90.51,88.15,66.92
600970,中材国际,15.81,13.90,12.03,18.97,17.00,62.33,66.93,66.21,67.65,70.54
2431,棕榈股份,-18.51,-17.97,1.00,-19.40,0.91,76.27,77.36,71.25,72.36,67.49
601800,中国交建,7.54,7.59,7.12,10.07,11.18,71.80,71.86,72.56,73.62,75.05
2628,成都路桥,0.31,2.69,2.89,1.59,0.79,59.92,62.78,61.73,59.48,54.40
2941,新疆交建,12.60,9.93,4.65,8.06,20.36,76.03,76.63,73.68,75.38,75.35
601390,中国中铁,12.13,11.63,11.85,12.84,10.81,73.77,73.68,73.90,76.76,76.43
601611,中国核建,10.85,10.77,10.52,11.30,10.77,82.22,82.58,82.30,84.05,86.83
628,高新发展,12.03,10.65,20.73,11.09,6.99,85.55,84.63,79.73,81.21,75.24
2061,浙江交科,13.62,10.74,12.22,9.78,19.59,76.20,80.29,76.89,74.81,75.12
603098,森特股份,1.72,1.28,8.77,11.06,12.46,63.52,48.73,57.39,56.07,48.51
301058,中粮科工,9.31,11.08,10.46,9.02,5.71,47.09,49.52,49.27,48.32,50.27
2135,东南网架,4.77,10.72,6.24,6.44,4.31,64.42,62.12,64.44,61.49,60.82
600133,东湖高新,8.66,9.16,13.65,4.03,8.56,71.52,71.50,74.04,77.70,78.42
2140,东华科技,10.44,10.07,8.65,8.16,7.31,66.45,71.78,70.45,66.28,64.05
301038,深水规院,-3.23,13.48,15.35,13.23,10.49,52.36,47.25,56.42,53.15,50.72
600939,重庆建工,1.53,2.71,3.08,6.21,5.79,88.73,86.17,86.55,85.52,87.48
2663,普邦股份,-7.93,-17.91,-5.46,-22.79,0.84,46.12,46.08,44.06,44.37,41.61
2542,中化岩土,-21.38,-8.16,4.57,6.30,6.05,64.73,63.72,61.33,53.96,54.29
603163,圣晖集成,21.19,33.59,28.41,33.62,16.93,42.98,63.17,62.51,64.25,68.20
600667,太极实业,-9.81,11.77,11.70,9.39,9.13,72.77,65.15,62.04,62.25,59.97
2062,宏润建设,9.15,10.81,12.19,11.39,10.49,73.34,78.26,77.63,78.84,78.89
601618,中国中冶,10.47,9.05,8.93,7.99,8.25,72.34,72.14,72.28,74.50,76.61
603843,正平股份,-12.19,5.53,7.13,4.28,5.26,78.59,77.33,75.23,75.84,72.48
836149,旭杰科技,-13.16,9.99,14.82,20.98,5.97,69.10,65.68,56.64,56.91,54.80
603815,交建股份,8.61,8.69,10.40,12.34,16.65,76.38,74.18,79.07,76.91,80.07
