公司代码,公司名称,2022年ROE,2021年ROE,2020年ROE,2019年ROE,2018年ROE,2022年资产负债率,2021年资产负债率,2020年资产负债率,2019年资产负债率,2018年资产负债率
2320,海峡股份,3.89,6.75,6.48,5.93,5.84,16.07,11.06,6.32,6.33,6.34
201872,招港B,7.54,6.99,5.67,8.71,3.88,35.05,36.91,37.29,39.38,37.18
601975,招商南油,21.78,5.18,26.95,20.80,10.13,28.39,32.58,32.95,39.69,51.08
601000,唐山港,9.01,11.13,10.36,10.84,10.67,11.99,16.58,20.11,25.49,26.85
582,北部湾港,8.55,8.85,10.20,10.33,8.01,48.99,51.08,40.29,40.95,39.24
601872,招商轮船,17.11,12.54,10.38,8.48,1.62,48.83,55.30,57.45,55.31,59.31
1872,招商港口,7.54,6.99,5.67,8.71,3.88,35.05,36.91,37.29,39.38,37.18
905,厦门港务,5.90,6.39,3.73,3.14,0.94,48.68,54.79,55.93,54.53,57.84
601326,秦港股份,7.84,6.64,6.54,6.53,5.90,34.77,39.12,38.65,38.82,42.26
603209,兴通股份,12.14,25.82,28.35,34.18,24.81,30.84,30.75,36.34,41.62,26.38
688569,铁科轨道,9.81,7.47,10.72,16.57,15.16,17.97,19.91,16.69,31.55,38.89
603529,爱玛科技,31.15,17.46,25.65,29.43,33.24,63.54,62.83,72.30,73.89,74.84
688187,时代电气,7.61,7.56,10.83,12.74,13.95,27.24,24.59,28.37,32.71,30.69
688009,中国通号,8.17,7.57,9.09,12.77,13.58,59.52,58.35,57.94,56.19,62.01
200017,深中华B,-14.30,-20.04,42.01,-53.69,-10.54,23.26,75.35,72.05,81.76,76.82
603129,春风动力,17.93,19.26,28.89,18.22,12.90,55.05,53.84,63.91,57.75,51.82
900946,天雁B股,-3.59,1.12,1.33,2.22,-16.69,28.31,28.97,38.75,38.04,57.87
872541,铁大科技,12.62,11.92,10.86,11.54,10.28,37.07,42.06,29.25,32.34,32.95
301048,金鹰重工,14.54,14.72,15.42,18.24,9.64,51.49,51.51,62.41,68.55,70.97
1324,长青科技,15.26,17.80,21.54,20.42,13.20,35.40,35.14,44.81,44.70,42.15
300994,久祺股份,15.38,29.73,0.41,46.90,33.25,32.16,44.20,58.98,55.36,73.20
301345,涛涛车业,24.35,39.13,56.04,32.02,28.47,43.58,50.21,53.45,57.85,61.53
688015,交控科技,9.71,18.27,20.09,18.51,17.91,54.51,55.30,69.67,69.19,80.71
600528,中铁工业,7.53,7.89,9.09,9.79,9.74,54.14,52.70,50.47,51.41,52.64
834058,华洋赛车,51.39,84.95,46.06,28.71,38.57,54.65,74.10,78.33,73.74,71.38
688459,哈铁科技,4.86,6.15,11.14,12.77,8.03,13.27,21.22,30.89,29.63,40.45
601766,中国中车,7.35,6.71,7.93,8.92,9.06,56.80,57.29,56.89,58.59,58.13
600967,内蒙一机,7.71,7.43,6.93,6.56,6.63,54.47,67.00,67.59,63.52,58.12
8,神州高铁,-17.66,-30.97,-0.13,4.60,4.53,60.17,56.91,48.02,37.10,29.25
688033,天宜上佳,5.47,7.01,4.82,15.83,24.29,24.57,20.76,6.96,8.37,9.42
300011,鼎汉技术,-14.15,1.34,-27.36,2.22,-26.34,62.01,56.24,55.33,46.05,45.96
600679,上海凤凰,-13.47,4.78,3.73,1.98,1.50,29.53,28.71,28.10,20.62,20.40
300594,朗进科技,-6.23,0.61,10.16,13.94,23.90,48.21,34.30,28.59,27.54,42.40
301322,绿通科技,57.71,39.34,21.03,25.08,17.44,20.76,42.02,35.30,32.40,41.57
300351,永贵电器,7.10,5.98,5.43,-20.42,-17.87,25.14,19.90,19.17,20.20,17.10
603111,康尼机电,7.73,11.75,15.48,32.09,-100.96,37.74,41.24,43.59,43.90,63.17
900915,中路Ｂ股,-11.98,5.59,16.05,-10.63,0.75,36.87,26.21,31.88,36.31,37.71
600818,中路股份,-11.98,5.59,16.05,-10.63,0.75,36.87,26.21,31.88,36.31,37.71
2105,信隆健康,20.97,36.46,26.72,7.90,2.05,44.04,58.66,61.23,63.72,65.63
688285,高铁电气,9.25,16.04,23.99,26.55,18.51,49.59,51.06,66.47,66.64,74.33
17,深中华A,-14.30,-20.04,42.01,-53.69,-10.54,23.26,75.35,72.05,81.76,76.82
600495,晋西车轴,0.33,0.33,0.63,1.90,1.14,17.94,19.46,17.39,18.78,19.27
