公司代码,公司名称,2022年ROE,2021年ROE,2020年ROE,2019年ROE,2018年ROE,2022年资产负债率,2021年资产负债率,2020年资产负债率,2019年资产负债率,2018年资产负债率
600613,神奇制药,2.07,3.01,-17.87,3.25,4.22,29.81,24.02,24.86,25.16,16.88
900904,神奇B股,2.07,3.01,-17.87,3.25,4.22,29.81,24.02,24.86,25.16,16.88
301277,新天地,24.53,32.12,46.99,24.48,7.61,11.38,39.16,39.96,56.35,32.98
766,通化金马,1.30,1.54,-14.62,-57.92,7.28,49.45,49.59,53.68,43.25,20.83
603456,九洲药业,18.69,15.06,12.88,8.52,5.74,32.12,34.99,38.30,38.80,15.94
2262,恩华药业,17.20,17.69,18.42,20.22,19.48,13.84,13.93,13.54,14.20,26.67
600851,海欣股份,3.92,3.12,2.98,3.01,3.75,18.48,19.58,22.14,21.52,19.61
566,海南海药,0.49,-53.13,-14.23,-3.51,2.53,68.27,71.48,61.36,57.03,53.32
756,新华制药,10.62,10.38,10.50,10.58,9.90,47.37,50.20,52.19,51.67,52.71
900917,海欣Ｂ股,3.92,3.12,2.98,3.01,3.75,18.48,19.58,22.14,21.52,19.61
2437,誉衡药业,-16.55,2.41,23.94,-91.21,2.95,58.19,57.85,57.20,75.21,53.64
688131,皓元医药,9.90,16.28,27.67,21.55,14.67,35.18,22.99,38.40,26.31,41.65
301089,拓新药业,23.23,10.70,25.67,17.71,22.19,25.33,21.26,48.14,48.22,56.09
600079,人福医药,17.63,10.90,9.94,7.97,-23.99,50.19,55.79,59.94,60.02,59.71
301281,科源制药,19.20,20.08,22.33,11.10,10.08,20.26,22.97,25.49,45.38,36.73
603538,美诺华,17.57,8.54,10.75,11.87,8.35,50.83,50.56,43.21,39.99,40.99
513,丽珠集团,14.31,14.32,14.86,12.02,10.15,39.93,36.03,33.76,31.71,32.62
300401,花园生物,15.89,16.08,11.79,19.31,21.70,37.75,35.33,19.35,16.18,5.14
1367,海森药业,25.92,29.36,22.69,28.35,32.96,17.06,24.31,23.23,23.31,26.59
603707,健友股份,18.82,25.29,24.46,22.52,19.12,38.39,34.25,51.50,40.85,28.84
300363,博腾股份,40.31,14.21,10.09,6.25,5.79,36.20,36.21,24.54,22.53,34.09
603351,威尔药业,6.64,7.63,7.93,11.15,19.75,30.67,24.76,20.58,14.88,23.95
2900,哈三联,1.46,18.11,1.63,8.97,10.87,37.38,30.96,27.84,30.70,21.63
300158,振东制药,-0.80,38.01,4.71,2.63,-2.58,20.27,20.20,25.91,21.32,25.65
2099,海翔药业,1.44,1.59,5.79,14.07,11.35,27.26,23.77,18.48,15.16,23.38
300434,金石亚药,10.06,3.24,-28.98,4.45,5.77,24.72,21.90,17.45,14.13,15.93
300199,翰宇药业,-25.78,1.89,-31.74,-31.95,-9.39,64.09,57.81,58.26,52.74,40.08
2332,仙琚制药,14.60,12.87,15.52,14.78,12.05,18.27,26.43,32.99,47.49,50.21
