公司代码,公司名称,2022年ROE,2021年ROE,2020年ROE,2019年ROE,2018年ROE,2022年资产负债率,2021年资产负债率,2020年资产负债率,2019年资产负债率,2018年资产负债率
300409,道氏技术,1.87,14.52,2.45,0.99,13.84,45.53,42.25,48.52,44.36,55.18
832175,东方碳素,26.39,14.49,11.58,10.14,12.98,32.87,27.84,25.67,24.38,13.14
2130,沃尔核材,15.08,15.67,12.83,7.70,0.75,42.37,46.69,48.52,51.72,56.39
300395,菲利华,17.91,16.28,12.06,17.08,16.71,19.58,18.23,16.68,11.93,24.21
603119,C浙荣,28.79,36.85,13.57,11.43,,46.87,49.12,60.62,55.02,
603985,恒润股份,2.82,21.39,34.94,7.41,11.89,21.24,14.27,42.47,39.80,34.70
603063,禾望电气,8.14,9.47,10.26,2.74,2.26,41.69,39.41,34.12,39.48,32.90
300850,新强联,8.67,23.07,40.72,16.91,11.14,56.92,43.93,54.65,36.72,33.26
688349,三一重能,21.86,53.43,570.88,-11.70,--,57.67,78.22,84.69,113.76,123.99
2487,大金重工,12.94,21.35,20.85,9.25,3.53,42.21,54.90,48.28,45.55,38.47
2531,天顺风能,7.84,18.07,16.80,13.51,9.28,58.19,50.00,53.28,54.48,58.16
601615,明阳智能,14.57,18.70,15.71,12.05,10.05,58.86,69.86,70.78,79.56,78.11
300129,泰胜风能,7.86,9.64,14.25,6.80,0.47,43.41,52.16,46.14,45.66,36.15
301155,海力风电,3.80,57.42,77.98,46.40,17.07,20.36,19.22,67.34,72.13,75.83
300772,运达股份,19.29,26.18,10.97,8.09,13.35,82.88,88.33,88.49,86.80,85.41
2202,金风科技,6.38,11.55,9.57,7.94,14.03,70.51,69.31,67.96,68.73,67.46
601218,吉鑫科技,5.64,7.79,8.95,2.63,-2.35,27.38,31.76,35.72,44.99,43.36
300569,天能重工,5.82,14.94,19.36,14.17,5.96,63.80,60.99,67.63,63.66,43.89
600458,时代新材,6.86,3.79,6.91,1.91,-7.85,63.33,69.39,69.13,68.99,66.44
688660,电气风电,-4.53,8.18,10.14,8.33,-2.41,76.33,75.16,86.39,82.49,85.21
603218,日月股份,3.90,7.84,21.45,15.92,9.81,24.30,23.40,20.26,46.22,26.60
300443,金雷股份,10.28,16.31,23.24,11.14,6.93,26.62,9.07,6.54,13.33,5.47
603507,振江股份,5.17,11.76,4.77,2.68,4.38,58.14,66.01,59.00,56.87,50.14
300690,双一科技,6.12,11.75,28.15,1.37,9.46,21.82,17.92,23.45,20.29,14.74
300185,通裕重工,3.71,4.50,7.02,4.53,4.25,55.98,51.34,53.54,55.29,48.55
2610,爱康科技,-25.75,-10.53,0.42,-27.03,2.17,72.26,58.67,56.24,64.70,58.48
601012,隆基绿能,26.95,21.45,27.23,23.93,16.71,55.39,51.31,59.38,52.29,57.58
688516,奥特维,37.76,29.77,19.03,17.78,14.38,69.57,66.65,63.43,67.28,60.23
2865,钧达股份,65.37,-17.90,1.46,1.86,4.84,88.93,73.33,43.59,50.04,52.58
300842,帝科股份,-1.87,10.64,13.27,19.24,18.60,71.82,58.86,48.44,54.51,54.81
603396,金辰股份,4.52,5.10,8.60,6.62,9.91,61.08,51.03,52.44,45.41,47.12
688390,固德威,33.18,18.12,34.99,27.79,19.27,60.66,54.83,43.09,58.55,61.17
688680,海优新材,2.09,12.08,34.52,13.93,6.31,61.69,37.21,50.73,48.01,45.17
603185,弘元绿能,32.61,27.58,27.18,11.39,35.88,40.40,48.65,45.69,38.19,11.66
300317,珈伟新能,5.12,-11.39,1.56,-43.87,-50.29,22.88,40.88,42.23,55.49,56.17
