公司代码,公司名称,2022年ROE,2021年ROE,2020年ROE,2019年ROE,2018年ROE,2022年资产负债率,2021年资产负债率,2020年资产负债率,2019年资产负债率,2018年资产负债率
300918,南山智尚,10.79,9.54,8.03,12.36,14.02,43.43,38.39,36.81,48.10,58.73
2563,森马服饰,5.70,12.70,7.01,13.60,16.03,40.38,40.92,33.02,29.04,32.44
301276,嘉曼服饰,16.00,30.59,23.97,22.41,21.84,21.50,40.11,47.89,44.53,47.60
605138,盛泰集团,16.80,18.01,21.64,22.06,22.56,63.97,64.50,69.35,72.08,75.71
2674,兴业科技,6.50,8.18,5.28,5.14,4.98,34.55,29.66,30.64,22.49,21.88
601599,浙文影业,6.52,9.24,-96.53,-46.10,2.18,57.48,63.88,85.17,69.70,60.69
2722,物产金轮,5.07,6.57,1.77,3.19,6.85,24.07,33.35,36.58,37.68,34.93
603073,彩蝶实业,16.44,23.90,21.50,24.62,27.27,28.29,39.27,42.24,40.89,53.73
2612,朗姿股份,0.56,5.88,4.78,2.07,7.59,49.12,50.38,30.21,30.44,41.17
300577,开润股份,2.76,11.06,8.04,30.77,30.68,49.74,50.71,46.06,54.30,51.86
301088,戎美股份,6.66,17.74,34.81,34.47,47.83,5.33,3.85,11.70,13.52,22.18
603365,水星家纺,10.32,15.51,11.88,14.04,13.57,21.73,24.10,21.56,19.23,20.95
2291,遥望科技,-4.87,-18.72,0.73,5.60,0.30,22.70,20.75,37.70,35.18,50.80
2293,罗莱生活,13.73,16.47,14.11,13.45,14.98,39.92,34.76,26.08,22.03,22.64
2029,七 匹 狼,2.60,3.97,3.46,5.92,6.21,43.16,41.04,34.88,34.38,32.46
300877,金春股份,-1.58,5.50,30.80,19.50,19.46,16.09,18.76,9.26,23.50,43.02
603808,歌力思,0.74,12.30,21.74,15.05,16.06,34.04,34.96,37.05,43.11,27.00
603558,健盛集团,10.90,7.12,-19.81,9.33,7.24,36.05,41.44,28.44,18.97,20.38
603587,地素时尚,10.28,19.00,18.66,19.73,25.23,17.18,19.90,16.06,15.64,13.47
600232,金鹰股份,4.82,4.67,2.75,2.24,2.18,34.06,37.11,38.68,37.22,32.85
605180,华生科技,5.29,20.20,24.75,23.89,23.07,2.16,7.72,7.33,5.37,6.92
2687,乔治白,9.00,15.00,11.96,13.07,10.87,27.95,29.70,24.53,29.44,29.06
2397,梦洁股份,-32.77,-9.19,2.22,4.39,4.16,58.76,52.99,45.57,40.98,37.83
600493,凤竹纺织,3.11,9.16,3.93,3.57,4.32,59.05,60.46,59.86,56.00,47.62
600107,美尔雅,-17.21,3.08,19.58,6.76,1.54,52.47,39.08,42.03,39.54,54.86
603055,台华新材,7.03,14.16,4.46,7.55,14.45,46.17,42.31,44.94,42.19,40.68
300901,中胤时尚,7.08,7.20,20.58,33.68,43.22,13.93,11.40,11.20,21.67,34.32
600448,华纺股份,-6.22,-4.07,1.19,0.79,1.44,66.10,64.77,61.83,56.88,59.56
603511,爱慕股份,4.63,8.58,13.73,11.37,16.40,12.40,14.15,12.30,14.17,17.27
603889,新澳股份,13.79,11.44,6.22,6.08,8.78,34.76,30.10,21.21,22.22,21.97
600735,新华锦,4.07,6.87,4.71,7.80,8.98,33.71,38.14,21.91,24.38,19.04
2494,华斯股份,-22.47,1.12,-20.11,0.89,0.88,26.26,19.27,27.45,25.56,24.67
955,欣龙控股,-15.98,1.60,0.27,0.78,-16.24,26.78,25.90,33.78,46.43,43.46
2327,富安娜,14.33,15.73,14.27,14.17,16.19,19.35,21.49,20.11,24.21,22.14
600156,华升股份,-38.11,-10.24,4.72,-8.48,4.34,57.37,49.59,44.37,37.02,35.88
603196,日播时尚,1.96,9.73,-5.44,0.94,4.09,36.47,28.93,24.35,21.06,27.03
1209,洪兴股份,-1.21,11.72,27.54,24.61,33.29,18.90,19.82,30.20,31.47,32.84
2193,如意集团,-5.88,0.04,0.19,1.83,3.83,41.94,41.35,43.47,43.24,43.12
600630,龙头股份,-54.51,-22.16,-17.56,1.05,2.07,57.85,47.64,41.07,37.76,37.99
2003,伟星股份,17.69,17.40,16.23,12.29,13.10,38.57,32.35,23.87,27.00,22.38
605189,富春染织,10.16,19.39,15.56,14.07,17.16,44.38,29.12,39.01,37.22,40.84
2394,联发股份,4.12,4.88,13.15,11.82,12.47,31.87,28.65,22.56,23.96,24.18
2762,金发拉比,-9.52,1.42,3.30,4.73,4.09,7.06,8.08,10.16,7.23,8.27
605003,众望布艺,8.22,14.28,26.18,42.51,40.16,9.81,11.55,11.03,23.71,24.34
601566,九牧王,-2.40,4.74,8.78,8.60,11.04,34.30,34.23,29.06,26.42,27.13
603608,天创时尚,-12.46,-3.94,-23.69,9.81,11.70,37.04,38.63,36.07,18.36,19.89
605055,迎丰股份,-4.19,8.14,11.62,18.92,28.61,51.27,45.52,54.04,49.87,42.88
838262,太湖雪,16.35,25.30,21.51,12.71,26.55,32.03,39.45,38.78,42.31,47.15
600398,海澜之家,13.89,17.50,13.23,24.44,28.70,55.66,52.11,49.78,52.06,55.75
2780,三夫户外,-4.96,-4.79,-11.66,-4.79,0.79,36.15,29.16,30.89,26.01,26.66
300005,探路者,3.31,2.55,-11.97,4.75,-7.43,20.93,14.18,11.72,15.69,15.38
300591,万里马,-37.45,-30.87,-28.22,4.67,7.95,39.34,49.71,51.01,52.53,52.91
2098,浔兴股份,8.29,14.31,27.86,8.27,-72.95,40.84,51.30,58.95,64.74,67.93
600987,航民股份,11.73,12.37,12.07,16.23,17.03,20.95,23.00,22.75,23.60,26.77
603555,ST贵人,-0.53,39.29,-181.22,-105.68,-34.60,43.64,35.09,99.26,88.96,67.81
603877,太平鸟,4.42,16.88,19.38,16.17,16.78,51.43,58.11,54.34,49.88,46.86
2144,宏达高科,4.19,3.58,3.67,4.87,5.41,9.88,10.71,9.26,11.19,14.18
3016,欣贺股份,4.43,9.72,8.36,12.84,11.46,21.86,20.89,18.62,22.85,22.68
2763,汇洁股份,6.87,14.25,10.95,10.05,9.34,20.21,23.62,20.75,23.26,23.33
603958,哈森股份,-17.77,-2.08,-4.36,0.93,-5.84,21.76,17.83,15.95,19.06,22.60
301108,洁雅股份,8.14,34.51,50.96,26.68,29.18,13.92,17.50,48.57,33.01,37.34
2875,安奈儿,-23.00,-0.36,-5.42,4.86,10.13,31.03,28.71,27.39,28.24,30.44
2269,美邦服饰,-130.90,-34.00,-47.12,-40.00,2.00,93.47,81.10,77.72,68.02,60.08
2404,嘉欣丝绸,12.34,7.29,10.85,8.97,8.66,40.72,50.00,36.52,38.97,39.94
603307,扬州金泉,40.38,23.88,14.93,21.71,19.18,22.15,28.69,25.86,29.60,23.57
603518,锦泓集团,2.43,9.78,-27.30,4.29,12.46,49.43,58.16,65.40,58.72,59.82
600137,浪莎股份,3.29,3.89,3.49,3.15,5.97,20.89,21.44,26.44,27.29,28.22
300840,酷特智能,8.18,6.30,6.22,12.51,13.18,31.72,25.40,16.49,23.51,39.16
603116,红蜻蜓,-1.17,0.65,2.26,3.71,5.62,29.52,24.58,27.67,25.85,23.98
300819,聚杰微纤,4.54,3.82,0.81,13.79,17.72,20.51,12.48,13.25,24.14,19.07
600689,上海三毛,-2.99,2.73,-7.95,1.77,2.34,46.85,43.10,37.89,34.40,36.02
900922,三毛B股,-2.99,2.73,-7.95,1.77,2.34,46.85,43.10,37.89,34.40,36.02
2154,报 喜 鸟,11.22,13.38,12.03,8.07,2.03,32.41,30.26,31.62,34.54,33.47
2776,*ST柏龙,332.14,-165.34,-16.78,6.06,7.53,224.99,86.62,37.79,25.03,27.18
1301,尚太科技,51.82,33.54,13.61,12.28,22.44,41.41,49.80,10.34,12.00,10.83
300861,美畅股份,32.58,20.52,21.06,29.25,63.14,24.56,9.92,6.36,16.78,16.79
603260,合盛硅业,23.63,55.24,15.48,13.43,42.19,55.38,33.21,51.07,50.74,50.01
688300,联瑞新材,16.32,16.86,11.97,19.24,22.41,20.00,16.18,11.77,12.46,22.77
603688,石英股份,39.43,13.14,10.86,11.31,10.56,10.88,10.89,10.44,20.61,7.06
688357,建龙微纳,13.89,24.16,13.87,28.11,47.21,29.12,27.19,17.57,24.69,64.42
600783,鲁信创投,11.02,12.78,9.10,6.24,5.25,46.12,40.45,40.22,34.86,34.81
838971,天马新材,17.13,43.89,13.24,16.62,15.48,10.35,43.20,39.25,28.98,41.08
301071,力量钻石,38.73,42.41,17.85,19.08,24.70,15.30,32.68,44.00,34.46,32.82
603826,坤彩科技,5.05,8.76,10.58,10.89,14.84,49.69,41.03,30.80,21.84,11.11
600172,黄河旋风,0.94,1.33,-26.44,4.70,-5.36,65.83,69.52,67.72,61.43,59.35
836675,秉扬科技,11.75,12.37,27.74,25.87,27.79,35.92,25.45,26.12,44.27,38.40
688281,华秦科技,11.46,55.60,72.76,-254.00,16.75,8.47,30.25,46.15,57.05,62.46
836807,奔朗新材,9.45,15.38,12.38,4.29,4.60,25.30,35.96,39.56,41.57,48.69
300743,天地数码,8.62,6.65,5.80,6.85,10.25,50.23,40.18,32.54,24.90,19.92
839792,东和新材,15.99,15.42,12.28,17.86,25.30,25.35,30.17,33.19,36.82,36.74
688119,中钢洛耐,9.38,13.07,19.14,32.58,34.97,48.58,56.24,55.68,79.93,85.21
600330,天通股份,12.31,8.53,8.70,4.13,7.47,28.06,37.97,36.22,38.36,34.93
839725,惠丰钻石,19.74,32.49,24.99,14.37,45.22,28.00,41.13,45.42,52.43,44.71
688733,壹石通,9.71,14.43,9.72,15.72,14.53,24.39,14.08,16.25,18.53,38.71
603612,索通发展,18.57,15.30,7.22,3.48,8.38,57.87,55.80,48.43,60.40,52.21
2057,中钢天源,13.75,9.00,11.41,9.92,9.49,32.86,37.84,42.03,32.56,24.56
839719,宁新新材,17.03,16.08,11.03,16.09,26.45,61.65,45.09,33.64,29.05,35.13
1296,长江材料,4.63,9.38,13.00,12.88,13.03,16.60,15.83,21.99,20.59,18.68
300035,中科电气,8.66,16.13,8.14,10.98,10.95,53.82,61.39,24.89,30.25,35.41
600516,方大炭素,5.53,7.15,3.58,14.67,44.07,16.79,14.87,13.99,14.12,16.02
300409,道氏技术,1.87,14.52,2.45,0.99,13.84,45.53,42.25,48.52,44.36,55.18
832175,东方碳素,26.39,14.49,11.58,10.14,12.98,32.87,27.84,25.67,24.38,13.14
