公司名称,公司代码,高管姓名,高管性别,高管年龄,高管学历,高管薪酬,高管职务
伊泰Ｂ股,900948,张晶泉,男,53,硕士,711.7万,"董事长,法定代表人,非独立董事"
伊泰Ｂ股,900948,杨嘉林,男,48,硕士,233.0万,"总经理,非独立董事"
伊泰Ｂ股,900948,张军,男,48,硕士,256.2万,副总经理
伊泰Ｂ股,900948,杜志飞,男,51,硕士,116.8万,副经理
伊泰Ｂ股,900948,边志宝,男,46,本科,132.2万,"副经理,非独立董事"
伊泰Ｂ股,900948,李俊诚,男,45,博士,0.000,非独立董事
伊泰Ｂ股,900948,赵立克,男,41,本科,2.400万,非独立董事
伊泰Ｂ股,900948,刘春林,男,56,硕士,2.400万,非独立董事
伊泰Ｂ股,900948,贺佩勋,男,37,本科,106.6万,董事会秘书
伊泰Ｂ股,900948,谭国明,男,60,大学学历,--,独立董事
伊泰Ｂ股,900948,杜莹芬,女,59,硕士,20.00万,独立董事
伊泰Ｂ股,900948,额尔敦陶克涛,男,60,博士,20.00万,独立董事
伊泰Ｂ股,900948,张威,女,41,硕士,316.9万,"监事会主席,职工监事"
伊泰Ｂ股,900948,王永亮,男,60,硕士,10.00万,监事
伊泰Ｂ股,900948,邬曲,男,58,本科,10.00万,监事
伊泰Ｂ股,900948,刘向华,男,45,本科,1.200万,监事
伊泰Ｂ股,900948,陈蓉,女,35,本科,1.200万,监事
伊泰Ｂ股,900948,贾哲聿,女,41,本科,75.63万,职工监事
伊泰Ｂ股,900948,李宏斌,男,51,本科,365.1万,总工程师
伊泰Ｂ股,900948,靳荣,男,48,硕士,341.9万,财务总监
华阳股份,600348,王永革,男,56,硕士,0.000,"董事长,董事"
华阳股份,600348,王立武,男,57,硕士,91.48万,"总经理,法定代表人,董事"
华阳股份,600348,付书俊,男,58,硕士,87.22万,副总经理
华阳股份,600348,范德元,男,57,硕士,81.40万,副总经理
华阳股份,600348,刘继勇,男,58,本科,85.53万,副总经理
华阳股份,600348,王平浩,女,51,硕士,74.92万,"副总经理,董事,董事会秘书"
华阳股份,600348,王可琛,男,49,硕士,--,副总经理
华阳股份,600348,王玉明,男,53,硕士,0.000,"董事,财务总监"
华阳股份,600348,刘志远,男,60,博士,10.74万,独立董事
华阳股份,600348,辛茂荀,男,65,本科,10.74万,独立董事
华阳股份,600348,孙国瑞,男,60,博士,10.74万,独立董事
华阳股份,600348,刘有兔,男,57,硕士,0.000,"监事会主席,监事"
华阳股份,600348,张云雷,男,55,硕士,0.000,监事
华阳股份,600348,王文玉,男,47,本科,0.000,监事
华阳股份,600348,范宏庆,男,52,硕士,75.72万,监事
华阳股份,600348,王军朝,男,50,硕士,114.1万,职工监事
华阳股份,600348,王伟,男,40,本科,59.10万,职工监事
华阳股份,600348,孙晋秀,男,55,本科,114.2万,职工监事
华阳股份,600348,赵志强,男,56,本科,72.34万,总工程师
兖矿能源,600188,李伟,男,57,博士,0.000,"董事长,法定代表人,非独立董事"
兖矿能源,600188,肖耀猛,男,51,硕士,168.2万,"总经理,非独立董事"
兖矿能源,600188,张传昌,男,55,硕士,133.5万,副总经理
兖矿能源,600188,李洪国,男,54,大学学历,--,副总经理
兖矿能源,600188,王九红,男,47,本科,125.5万,副总经理
兖矿能源,600188,尤加强,男,53,本科,7.600万,副总经理
兖矿能源,600188,田兆华,男,57,硕士,129.7万,副总经理
兖矿能源,600188,刘健,男,54,硕士,0.000,非独立董事
兖矿能源,600188,张海军,男,50,大学学历,--,非独立董事
兖矿能源,600188,刘强,男,51,硕士,11.40万,非独立董事
兖矿能源,600188,黄霄龙,男,46,硕士,93.97万,"非独立董事,董事会秘书"
兖矿能源,600188,苏力,男,51,硕士,128.4万,职工代表董事
兖矿能源,600188,胡家栋,男,54,本科,--,独立董事
兖矿能源,600188,彭苏萍,男,64,博士,--,独立董事
兖矿能源,600188,朱利民,男,72,硕士,15.00万,独立董事
兖矿能源,600188,朱睿,女,48,博士,--,独立董事
兖矿能源,600188,朱昊,男,52,大学学历,0.000,非职工监事
兖矿能源,600188,李士鹏,男,45,硕士,0.000,非职工监事
兖矿能源,600188,靳家皓,男,52,大学学历,--,职工代表监事
兖矿能源,600188,赵青春,男,55,硕士,127.4万,财务总监
兖矿能源,600188,黄伟超,男,--,硕士,--,香港联席秘书
兖矿能源,600188,马俊鹏,男,50,硕士,59.67万,总工程师
中煤能源,601898,王树东,男,59,硕士,0.000,"董事长,法定代表人,执行董事"
中煤能源,601898,赵荣哲,男,58,硕士,0.000,"总裁,执行董事"
中煤能源,601898,彭毅,男,61,博士,0.000,"副董事长,执行董事"
中煤能源,601898,倪嘉宇,男,52,硕士,110.2万,副总裁
中煤能源,601898,张国秀,男,57,硕士,11.41万,副总裁
中煤能源,601898,廖华军,男,54,硕士,--,执行董事
中煤能源,601898,姜群,男,53,本科,73.63万,董事会秘书
中煤能源,601898,徐倩,男,43,博士,0.000,非执行董事
中煤能源,601898,张成杰,男,70,大学学历,9.000万,独立非执行董事
中煤能源,601898,熊璐珊,女,57,本科,--,独立非执行董事
中煤能源,601898,景奉儒,男,62,博士,--,独立非执行董事
中煤能源,601898,王文章,男,59,硕士,112.0万,股东代表监事
中煤能源,601898,张巧巧,女,51,硕士,128.1万,股东代表监事
中煤能源,601898,张锋,男,49,硕士,--,职工代表监事
中煤能源,601898,柴乔林,男,55,本科,121.7万,首席财务官
中国神华,601088,吕志韧,男,59,硕士,98.59万,"总经理,执行董事"
中国神华,601088,王祥喜,男,61,硕士,--,法定代表人
中国神华,601088,许明军,男,60,硕士,134.2万,"副总经理,执行董事"
中国神华,601088,王兴中,男,55,博士,118.4万,副总经理
中国神华,601088,李志明,男,55,硕士,109.9万,副总经理
中国神华,601088,刘晓蕾,女,49,博士,37.40万,职工董事
中国神华,601088,宋静刚,男,49,硕士,41.47万,"董事会秘书,总会计师"
中国神华,601088,贾晋中,男,60,硕士,--,非执行董事
中国神华,601088,杨荣明,男,58,博士,--,非执行董事
中国神华,601088,陈汉文,男,55,博士,30.00万,独立非执行董事
中国神华,601088,白重恩,男,60,博士,30.00万,独立非执行董事
中国神华,601088,袁国强,男,59,博士,30.00万,独立非执行董事
中国神华,601088,唐超雄,男,55,本科,--,"监事会主席,股东代表监事"
中国神华,601088,周大宇,男,58,硕士,--,股东代表监事
中国神华,601088,章丰,男,48,大学学历,36.92万,职工监事
兰花科创,600123,刘海山,男,54,大学学历,30.14万,"董事长,法定代表人,董事"
兰花科创,600123,李洪文,男,54,本科,42.76万,副总经理
兰花科创,600123,郭朋星,男,51,本科,43.44万,副总经理
兰花科创,600123,李建国,男,58,本科,44.72万,副总经理
兰花科创,600123,张翔,男,48,本科,42.53万,副总经理
兰花科创,600123,邢跃宏,男,53,硕士,43.52万,"非独立董事,财务负责人,总会计师"
兰花科创,600123,司鑫炎,男,51,硕士,--,非独立董事
兰花科创,600123,苗伟,男,48,本科,42.05万,"非独立董事,董事会秘书"
兰花科创,600123,李丰亮,男,53,硕士,--,非独立董事
兰花科创,600123,王西栋,男,48,本科,42.68万,非独立董事
兰花科创,600123,郑垲,男,71,大学学历,8.000万,独立董事
兰花科创,600123,梁龙虎,男,67,大学学历,8.000万,独立董事
兰花科创,600123,余春宏,男,64,硕士,8.000万,独立董事
兰花科创,600123,司麦虎,男,58,本科,--,"监事会主席,非职工监事"
兰花科创,600123,李海军,男,54,本科,--,非职工监事
兰花科创,600123,王晨静,女,34,本科,--,非职工监事
兰花科创,600123,王国强,男,53,硕士,--,职工监事
兰花科创,600123,陈吉靠,男,55,本科,--,职工监事
兰花科创,600123,赵勇,男,52,本科,43.71万,总经济师
山西焦煤,000983,赵建泽,男,59,硕士,--,"董事长,法定代表人,非独立董事"
山西焦煤,000983,樊大宏,男,57,硕士,63.10万,"总经理,非独立董事,财务总监"
山西焦煤,000983,武海军,男,50,大学学历,--,副总经理
山西焦煤,000983,要华伟,男,52,硕士,10.12万,副总经理
山西焦煤,000983,李争春,男,53,硕士,9.260万,副总经理
山西焦煤,000983,王晓东,男,54,大学学历,10.12万,副总经理
山西焦煤,000983,张有狮,男,53,硕士,65.47万,"副总经理,总工程师"
山西焦煤,000983,王强,男,53,博士,--,非独立董事
山西焦煤,000983,王慧玲,男,48,大学学历,--,非独立董事
山西焦煤,000983,胡文强,男,55,本科,--,非独立董事
山西焦煤,000983,戎生权,男,58,硕士,146.8万,非独立董事
山西焦煤,000983,焦宇强,男,45,硕士,--,非独立董事
山西焦煤,000983,孟奇,男,55,硕士,--,职工董事
山西焦煤,000983,王洪云,男,47,本科,10.48万,董事会秘书
山西焦煤,000983,赵利新,男,56,硕士,5.600万,独立董事
山西焦煤,000983,邓蜀平,男,55,本科,5.600万,独立董事
山西焦煤,000983,李永清,男,68,硕士,5.600万,独立董事
山西焦煤,000983,李玉敏,男,65,硕士,5.600万,独立董事
山西焦煤,000983,苏新强,男,55,大学学历,--,非职工代表监事
山西焦煤,000983,赵彦浩,男,41,本科,--,非职工代表监事
山西焦煤,000983,钟晓强,男,45,本科,--,非职工代表监事
山西焦煤,000983,黄浩,男,52,硕士,--,非职工代表监事
山西焦煤,000983,韩林明,男,51,硕士,62.08万,职工监事
山西焦煤,000983,张宁,男,51,本科,62.69万,职工监事
山西焦煤,000983,翟茂林,男,45,硕士,56.72万,职工监事
陕西黑猫,601015,张林兴,男,52,大专,85.28万,"董事长,总经理,法定代表人,董事"
陕西黑猫,601015,孙鹏,男,40,大专,32.67万,副总经理
陕西黑猫,601015,刘芬燕,女,53,本科,65.26万,"副总经理,董事,财务总监"
