公司代码,公司名称,2022年ROE,2021年ROE,2020年ROE,2019年ROE,2018年ROE,2022年资产负债率,2021年资产负债率,2020年资产负债率,2019年资产负债率,2018年资产负债率
1218,丽臣实业,5.76,14.55,27.47,28.58,23.01,23.09,17.30,40.16,50.06,67.13
603980,吉华集团,-4.85,3.05,5.14,9.81,16.95,19.88,16.35,16.89,15.63,13.31
603948,建业股份,21.49,18.91,9.73,18.91,33.50,25.85,27.16,25.93,25.40,37.22
603681,永冠新材,9.75,12.75,12.20,12.14,15.81,61.51,52.47,54.14,26.52,31.92
603281,江瀚新材,55.83,68.16,24.19,26.58,35.20,19.05,31.42,39.37,14.15,19.11
600800,渤海化学,-1.31,6.55,7.84,6.62,21.52,39.69,39.48,41.27,43.87,80.51
430489,佳先股份,12.13,13.67,8.69,15.84,12.43,41.96,39.61,42.08,46.33,16.59
2408,齐翔腾达,4.83,21.27,11.94,8.27,12.13,51.42,48.52,52.59,42.00,35.33
2360,同德化工,11.81,9.00,0.13,14.20,13.46,41.64,30.44,24.28,20.83,17.99
2709,天赐材料,59.42,40.92,17.49,0.57,17.03,49.72,46.98,41.17,44.25,39.89
688625,呈和科技,19.86,25.68,43.36,44.86,43.02,55.77,21.70,24.73,35.60,43.88
688269,凯立新材,24.62,27.01,34.02,24.53,21.36,36.58,27.13,34.39,37.02,29.90
2096,易普力,2.54,2.67,2.84,3.37,1.13,45.93,51.49,54.33,44.01,45.45
301373,凌玮科技,15.91,14.27,19.91,24.83,25.45,14.35,13.11,11.29,15.10,19.84
605166,聚合顺,16.60,18.80,13.50,19.70,25.26,55.54,54.30,40.57,48.85,44.68
603977,国泰集团,5.30,10.23,9.29,7.50,6.33,33.24,29.87,31.38,30.94,27.05
603968,醋化股份,20.68,10.10,15.11,14.63,14.51,34.04,35.71,28.85,24.66,26.48
830974,凯大催化,12.44,12.19,24.39,22.12,11.04,24.77,29.18,32.81,30.69,11.94
301216,万凯新材,21.67,28.16,15.72,36.70,31.48,52.90,74.41,72.15,73.94,82.60
300107,建新股份,4.23,0.94,0.03,19.87,52.02,12.38,9.31,7.25,5.08,8.93
688398,赛特新材,6.93,13.13,13.06,25.40,17.82,19.40,21.71,22.78,37.79,41.09
2476,宝莫股份,3.47,2.16,1.62,11.96,-30.95,16.38,15.36,18.62,16.21,31.78
301212,联盛化学,18.47,23.17,32.90,23.34,12.64,18.41,48.22,50.69,48.13,52.54
2165,红 宝 丽,-3.76,1.59,7.46,5.84,1.91,63.70,60.73,61.48,58.78,58.53
2895,川恒股份,19.14,11.48,6.42,9.35,4.08,51.11,46.00,21.45,29.06,26.95
603188,亚邦股份,-37.67,-6.16,-23.10,-6.51,5.18,46.08,38.09,39.67,30.18,34.51
603916,苏博特,7.14,14.50,16.16,15.91,13.57,40.70,43.65,41.29,47.52,40.77
2440,闰土股份,6.38,9.05,8.81,16.46,17.61,22.18,16.11,17.74,17.57,18.47
600378,昊华科技,15.16,13.14,10.27,10.01,11.08,46.69,37.88,34.79,30.26,41.00
688199,久日新材,1.59,6.24,5.12,21.60,25.21,31.16,26.52,20.79,10.26,36.24
300200,高盟新材,7.50,8.80,13.46,11.76,5.67,14.90,15.31,14.03,12.72,14.22
600370,三房巷,12.45,10.45,10.21,21.17,40.68,53.08,43.77,52.95,63.94,12.20
3022,联泓新科,13.14,18.46,17.80,18.28,9.14,47.54,45.59,41.53,58.61,68.46
300343,联创股份,55.99,29.67,-10.80,-96.51,-58.86,32.62,42.01,62.63,71.17,43.50
603217,元利科技,16.62,14.91,7.16,8.96,31.51,15.48,16.25,11.68,13.85,30.05
600309,万华化学,22.75,42.53,22.20,25.44,50.83,59.50,62.33,61.38,54.65,54.54
2037,保利联合,-26.37,-1.76,1.18,4.40,5.42,76.82,70.71,71.04,67.51,67.22
603227,雪峰科技,26.63,19.78,7.56,7.75,4.28,45.28,48.23,53.94,54.60,50.19
603683,晶华新材,0.60,3.33,18.11,0.44,2.94,44.88,43.88,41.73,45.34,38.96
2407,多氟多,34.55,29.42,1.63,-12.66,2.42,56.17,50.71,63.48,61.54,50.74
605589,圣泉集团,8.54,10.55,16.86,10.21,13.12,30.07,40.49,47.46,31.93,40.19
2986,宇新股份,19.19,7.15,2.12,27.97,26.98,33.61,21.50,9.69,16.56,18.64
300699,光威复材,21.27,19.60,18.51,17.43,13.91,21.10,23.28,20.05,20.01,20.20
300041,回天新材,12.38,10.89,12.36,9.18,6.69,54.46,49.54,41.67,37.51,26.77
300163,先锋新材,-0.29,-0.58,3.09,9.50,-34.33,7.89,13.74,16.59,28.23,45.23
605366,宏柏新材,19.02,9.84,10.94,21.50,30.74,30.21,25.38,9.06,28.45,33.25
603822,嘉澳环保,-3.50,11.73,4.73,8.05,7.25,63.70,61.95,57.50,47.95,46.10
688157,松井股份,6.82,8.61,19.45,26.17,19.56,10.40,10.84,11.39,29.77,26.16
565,渝三峡Ａ,4.10,5.80,4.73,5.87,4.26,19.32,21.35,24.73,26.33,26.54
603867,新化股份,18.34,12.63,14.52,11.48,24.59,41.64,37.62,37.38,35.26,49.70
300758,七彩化学,-0.17,11.34,14.98,10.81,22.79,43.63,31.08,30.58,21.93,30.50
2827,高争民爆,6.91,6.86,4.80,3.06,7.49,52.93,42.38,38.71,27.91,16.44
688350,富淼科技,9.21,8.11,11.23,9.60,7.89,37.79,24.55,25.96,29.03,31.84
