公司代码,公司名称,2022年ROE,2021年ROE,2020年ROE,2019年ROE,2018年ROE,2022年资产负债率,2021年资产负债率,2020年资产负债率,2019年资产负债率,2018年资产负债率
600306,*ST商城,-321.89,-43.09,-93.77,-336.16,-149.31,114.88,96.79,117.55,105.90,98.55
600790,轻纺城,19.31,7.50,6.89,6.11,10.04,39.20,35.44,38.81,42.69,46.48
601828,美凯龙,1.39,4.12,3.72,10.25,10.63,55.51,57.44,61.16,59.95,59.14
605188,国光连锁,1.71,2.73,11.22,15.12,22.93,58.58,58.37,48.30,52.53,55.05
417,合肥百货,3.96,4.40,3.42,4.05,6.04,60.77,60.94,56.46,56.27,57.58
601366,利群股份,-4.00,1.67,3.11,5.77,4.46,75.67,73.33,63.61,61.09,64.26
2419,天虹股份,2.97,5.50,3.74,12.87,14.50,86.70,87.18,62.36,58.19,59.57
600858,银座股份,-0.63,1.58,-13.39,1.72,1.53,78.94,79.86,73.01,70.50,74.33
301078,孩子王,4.20,8.83,20.64,25.00,23.55,62.29,64.95,58.38,60.87,60.52
2277,友阿股份,0.50,1.94,2.03,4.71,6.86,53.62,55.53,54.22,52.77,50.51
605136,丽人丽妆,-5.30,16.40,18.27,19.86,21.54,21.43,21.66,25.06,28.95,38.40
603214,爱婴室,11.86,7.12,11.12,16.33,16.42,59.18,62.67,38.59,34.96,33.05
600814,杭州解百,7.46,11.90,10.02,9.50,6.35,49.46,51.38,40.20,37.86,38.60
600697,欧亚集团,-6.39,0.86,0.70,9.28,10.72,79.76,79.36,75.74,74.29,75.27
785,居然之家,8.52,12.31,8.41,24.54,22.14,61.08,63.96,47.37,52.75,57.64
600415,小商品城,7.30,9.38,6.88,10.04,9.40,52.41,52.83,52.78,58.23,56.00
600824,益民集团,-12.01,3.49,6.88,3.57,5.04,26.18,24.30,21.86,21.05,21.63
2187,广百股份,-3.57,5.73,4.38,6.85,7.51,57.20,61.58,30.90,35.48,37.18
603708,家家悦,2.50,-11.92,14.25,16.35,16.63,85.70,84.59,67.11,63.90,60.76
601010,文峰股份,-3.54,4.88,5.58,7.21,5.46,34.58,35.06,27.87,27.82,28.57
600628,新世界,-1.21,1.60,1.63,0.83,6.18,26.31,28.68,28.67,34.32,23.32
