公司代码,公司名称,2022年ROE,2021年ROE,2020年ROE,2019年ROE,2018年ROE,2022年资产负债率,2021年资产负债率,2020年资产负债率,2019年资产负债率,2018年资产负债率
603199,九华旅游,-1.09,4.83,4.49,10.18,8.67,15.83,14.45,14.16,16.73,15.93
2033,丽江股份,0.15,-1.53,0.03,8.16,8.05,8.35,6.66,6.01,5.90,6.11
2306,中科云网,-27.77,10.91,-22.12,-601.61,41.69,65.90,51.81,81.09,89.88,73.56
600258,首旅酒店,-5.40,0.67,-5.72,10.36,11.07,58.31,58.08,48.08,45.66,49.76
2159,三特索道,-6.39,-12.92,2.64,1.08,15.08,38.36,50.45,44.83,61.00,65.92
524,岭南控股,-8.34,-5.59,-9.58,9.92,8.02,31.06,28.36,32.13,42.54,43.22
888,峨眉山Ａ,-6.20,0.74,-1.56,9.27,9.23,25.84,27.74,26.16,17.16,17.38
430,张家界,-21.01,-9.39,-5.92,0.69,1.69,61.27,51.87,45.91,39.91,36.45
796,*ST凯撒,268.09,-127.99,-40.17,5.35,9.18,126.66,86.99,70.93,59.53,60.89
300756,金马游乐,-2.26,3.17,-1.32,10.80,20.67,43.96,40.56,43.37,37.93,42.69
601007,金陵饭店,2.66,1.82,2.87,4.98,5.22,43.29,38.03,28.49,31.25,29.31
601898,中煤能源,14.88,12.71,5.90,5.93,3.69,51.47,55.65,55.82,56.92,58.15
600395,盘江股份,22.23,16.54,10.99,15.99,15.54,58.12,61.23,55.21,49.76,47.46
601225,陕西煤业,35.28,24.03,19.37,21.27,22.91,35.93,37.61,39.78,39.84,44.92
600971,恒源煤电,23.19,14.46,8.54,13.69,16.33,39.72,43.39,40.34,42.81,44.77
900948,伊泰Ｂ股,24.26,22.93,-1.87,10.27,13.17,36.00,46.29,49.61,52.52,55.00
552,甘肃能化,7.37,4.63,7.09,6.92,7.58,50.98,59.78,36.98,29.02,27.71
601699,潞安环能,33.98,21.70,7.61,9.50,10.73,48.08,64.74,66.61,68.38,69.72
600985,淮北矿业,23.11,20.15,17.04,18.97,23.18,54.78,56.72,62.01,64.44,65.49
600997,开滦股份,13.29,14.37,8.86,10.59,13.80,45.84,47.22,47.98,44.95,49.47
601101,昊华能源,13.36,23.34,0.61,3.76,10.23,53.96,51.34,54.94,54.77,42.66
600546,山煤国际,52.07,43.62,9.32,16.89,4.75,58.66,68.77,72.89,75.95,79.37
600403,大有能源,19.33,17.33,-0.13,0.13,8.35,61.18,64.36,69.99,60.96,56.80
600397,安源煤业,-12.36,7.80,-30.25,2.22,7.79,94.69,92.87,93.22,88.75,88.68
