公司代码,公司名称,2022年ROE,2021年ROE,2020年ROE,2019年ROE,2018年ROE,2022年资产负债率,2021年资产负债率,2020年资产负债率,2019年资产负债率,2018年资产负债率
600609,金杯汽车,17.52,29.50,-88.08,10.10,25.63,71.23,76.71,76.55,84.21,85.50
870436,大地电气,-5.21,16.23,25.26,10.26,9.76,43.77,46.49,64.17,61.50,57.46
831906,舜宇精工,16.01,13.21,9.67,8.53,11.51,58.72,59.35,58.66,56.47,53.93
688667,菱电电控,4.59,12.18,49.40,40.02,14.39,20.89,20.39,47.90,62.76,53.30
833454,同心传动,6.57,12.39,19.26,12.73,12.46,12.96,15.23,27.36,26.39,30.23
600081,东风科技,3.43,10.21,8.35,11.01,12.06,53.95,57.64,69.07,66.51,67.89
200625,长 安Ｂ,13.07,6.53,7.13,-5.86,1.45,56.90,58.74,54.78,54.99,50.63
2283,天润工业,3.65,10.29,10.61,8.04,8.41,29.25,37.42,37.95,32.96,33.92
2265,建设工业,11.60,10.37,9.93,0.78,-7.28,70.11,63.41,34.96,35.44,34.88
603358,华达科技,8.44,12.36,8.42,5.96,8.04,45.16,42.62,42.18,39.99,41.66
2126,银轮股份,8.46,5.28,8.40,8.60,10.01,61.31,59.35,55.75,51.52,47.87
300998,宁波方正,3.17,5.30,12.04,15.39,30.89,58.03,53.62,62.54,63.70,67.38
605133,嵘泰股份,7.71,6.70,15.92,23.68,18.67,46.33,23.86,47.27,50.97,55.16
200550,江 铃Ｂ,10.28,5.87,5.13,1.42,0.83,66.36,67.54,61.02,56.80,55.62
601717,郑煤机,15.74,14.06,9.79,8.78,7.48,57.93,57.29,58.37,55.77,55.61
300432,富临精工,16.03,17.42,17.24,0.29,-82.16,42.04,51.53,34.21,35.27,49.42
832000,安徽凤凰,8.40,8.71,15.05,16.33,13.29,22.91,26.10,25.40,28.99,20.74
622,恒立实业,-6.60,0.83,1.48,6.03,1.67,38.41,37.41,46.13,32.08,40.29
900953,凯马Ｂ,-34.29,-25.55,2.10,4.08,-14.49,82.76,80.40,77.76,78.73,78.15
338,潍柴动力,6.66,16.94,18.63,21.22,22.73,64.55,64.07,70.23,70.54,69.67
301186,超达装备,6.13,7.63,11.46,13.95,19.25,22.44,18.15,25.21,28.25,27.17
603950,长源东谷,4.47,11.72,18.57,28.11,21.84,40.62,38.57,43.48,59.04,68.29
200030,富奥B,6.75,11.44,12.94,13.77,14.53,44.49,42.72,42.78,42.31,38.98
603179,新泉股份,12.21,7.99,13.12,11.53,19.04,55.75,49.34,47.59,63.98,58.74
2048,宁波华翔,9.27,11.94,8.71,11.36,9.19,44.75,44.14,38.74,38.70,42.53
2870,香山股份,6.68,6.05,9.59,-8.15,4.69,63.02,70.12,71.94,22.08,23.43
581,威孚高科,0.64,13.67,15.78,13.77,15.48,35.38,28.63,31.28,27.02,21.25
600960,渤海汽车,-1.29,-1.79,1.44,1.54,3.07,37.70,36.17,42.77,42.45,44.90
603201,常润股份,19.23,26.83,30.76,39.50,16.00,42.07,66.88,71.91,75.89,86.62
2472,双环传动,10.38,7.68,1.44,2.17,5.64,41.96,49.18,56.91,54.88,53.53
600742,一汽富维,7.51,10.09,10.50,10.78,10.52,53.52,56.97,55.85,57.64,40.99
2537,海联金汇,2.36,6.67,5.44,-47.48,2.08,43.28,44.02,41.41,41.56,29.79
200581,苏威孚Ｂ,0.64,13.67,15.78,13.77,15.48,35.38,28.63,31.28,27.02,21.25
901,航天科技,0.66,0.76,-17.41,3.91,4.04,46.46,41.79,38.37,38.52,35.76
603166,福达股份,2.46,8.53,9.14,6.29,5.34,26.62,28.25,33.18,33.06,34.28
603917,合力科技,5.60,6.14,8.02,8.56,11.25,26.04,29.34,27.96,25.76,26.39
300695,兆丰股份,7.34,6.65,8.55,11.90,11.69,17.47,21.31,17.26,15.46,14.14
2664,信质集团,7.01,7.16,12.25,13.30,12.73,59.87,56.49,49.33,38.87,33.51
2363,隆基机械,2.19,1.44,2.03,2.65,3.57,38.73,35.68,29.21,29.41,31.06
605128,上海沿浦,4.35,6.96,12.38,18.90,20.99,47.71,27.33,26.28,41.80,47.93
2213,大为股份,4.48,4.04,2.41,0.44,0.33,15.28,47.15,20.98,19.01,13.86
300681,英搏尔,2.28,7.78,2.31,-13.07,8.26,56.14,66.01,46.97,40.37,46.96
603197,保隆科技,9.11,14.47,16.56,16.76,12.04,57.88,52.40,64.93,65.62,67.22
603305,旭升集团,16.31,12.09,12.53,13.94,23.05,41.55,55.28,27.55,37.82,40.03
559,万向钱潮,9.48,8.05,7.95,10.48,14.47,53.52,47.78,42.90,54.70,54.66
836221,易实精密,20.96,24.61,19.04,13.55,8.19,34.88,44.65,26.94,21.49,21.90
300893,松原股份,13.78,14.51,19.70,24.61,20.79,43.52,28.91,19.63,34.03,35.28
603306,华懋科技,7.10,6.89,8.25,10.03,12.48,11.85,11.57,10.67,10.12,10.32
600699,均胜电子,3.35,-27.96,4.61,7.52,10.49,67.28,67.16,65.40,69.95,69.35
838171,邦德股份,22.11,15.46,19.30,34.91,28.42,12.96,21.35,16.57,20.56,39.23
